year;area;level2;level2_en;area_en;Level1;level1_en;value;numerator;denominator;type;name_numerator;name_denominator;Period
2016;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;186.8;271;138164;rate;number;inhabitants;2013-2017
2013;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;165.7;233;136442;rate;number;inhabitants;2013-2017
2014;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;166.8;237;136931;rate;number;inhabitants;2013-2017
2015;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;181.4;261;137343;rate;number;inhabitants;2013-2017
2017;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;185.6;272;138813;rate;number;inhabitants;2013-2017
2016;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;186.8;271;138164;rate;number;inhabitants;2013-2017
2013;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;165.7;233;136442;rate;number;inhabitants;2013-2017
2014;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;166.8;237;136931;rate;number;inhabitants;2013-2017
2015;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;181.4;261;137343;rate;number;inhabitants;2013-2017
2017;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;185.6;272;138813;rate;number;inhabitants;2013-2017
2016;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;186.8;271;138164;rate;number;inhabitants;2013-2017
2013;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;165.7;233;136442;rate;number;inhabitants;2013-2017
2014;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;166.8;237;136931;rate;number;inhabitants;2013-2017
2015;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;181.4;261;137343;rate;number;inhabitants;2013-2017
2017;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;185.6;272;138813;rate;number;inhabitants;2013-2017
2016;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;186.8;271;138164;rate;number;inhabitants;2013-2017
2013;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;165.7;233;136442;rate;number;inhabitants;2013-2017
2014;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;166.8;237;136931;rate;number;inhabitants;2013-2017
2015;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;181.4;261;137343;rate;number;inhabitants;2013-2017
2017;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;185.6;272;138813;rate;number;inhabitants;2013-2017
2016;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;186.8;271;138164;rate;number;inhabitants;2013-2017
2013;3;1;Shoulder surgery (acromion resection);Nordland;1;Day Surgery;165.7;233;136442;rate;number;inhabitants;2013-2017
2015;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;118.7;98;78393;rate;number;inhabitants;2013-2017
2013;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;162.1;132;78244;rate;number;inhabitants;2013-2017
2017;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;103;88;78614;rate;number;inhabitants;2013-2017
2014;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;176.5;145;78492;rate;number;inhabitants;2013-2017
2016;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;101.6;86;78604;rate;number;inhabitants;2013-2017
2015;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;118.7;98;78393;rate;number;inhabitants;2013-2017
2013;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;162.1;132;78244;rate;number;inhabitants;2013-2017
2017;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;103;88;78614;rate;number;inhabitants;2013-2017
2014;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;176.5;145;78492;rate;number;inhabitants;2013-2017
2016;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;101.6;86;78604;rate;number;inhabitants;2013-2017
2015;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;118.7;98;78393;rate;number;inhabitants;2013-2017
2013;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;162.1;132;78244;rate;number;inhabitants;2013-2017
2017;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;103;88;78614;rate;number;inhabitants;2013-2017
2014;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;176.5;145;78492;rate;number;inhabitants;2013-2017
2016;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;101.6;86;78604;rate;number;inhabitants;2013-2017
2015;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;118.7;98;78393;rate;number;inhabitants;2013-2017
2013;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;162.1;132;78244;rate;number;inhabitants;2013-2017
2017;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;103;88;78614;rate;number;inhabitants;2013-2017
2014;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;176.5;145;78492;rate;number;inhabitants;2013-2017
2016;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;101.6;86;78604;rate;number;inhabitants;2013-2017
2015;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;118.7;98;78393;rate;number;inhabitants;2013-2017
2013;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;162.1;132;78244;rate;number;inhabitants;2013-2017
2017;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;103;88;78614;rate;number;inhabitants;2013-2017
2014;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;176.5;145;78492;rate;number;inhabitants;2013-2017
2016;4;1;Shoulder surgery (acromion resection);Helgeland;1;Day Surgery;101.6;86;78604;rate;number;inhabitants;2013-2017
2015;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;207.7;292;134805;rate;number;inhabitants;2013-2017
2013;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;236.7;325;133570;rate;number;inhabitants;2013-2017
2017;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;204.6;292;136320;rate;number;inhabitants;2013-2017
2016;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;217.7;307;135690;rate;number;inhabitants;2013-2017
2014;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;246.3;341;134219;rate;number;inhabitants;2013-2017
2015;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;207.7;292;134805;rate;number;inhabitants;2013-2017
2013;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;236.7;325;133570;rate;number;inhabitants;2013-2017
2017;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;204.6;292;136320;rate;number;inhabitants;2013-2017
2016;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;217.7;307;135690;rate;number;inhabitants;2013-2017
2014;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;246.3;341;134219;rate;number;inhabitants;2013-2017
2015;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;207.7;292;134805;rate;number;inhabitants;2013-2017
2013;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;236.7;325;133570;rate;number;inhabitants;2013-2017
2017;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;204.6;292;136320;rate;number;inhabitants;2013-2017
2016;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;217.7;307;135690;rate;number;inhabitants;2013-2017
2014;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;246.3;341;134219;rate;number;inhabitants;2013-2017
2015;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;207.7;292;134805;rate;number;inhabitants;2013-2017
2013;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;236.7;325;133570;rate;number;inhabitants;2013-2017
2017;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;204.6;292;136320;rate;number;inhabitants;2013-2017
2016;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;217.7;307;135690;rate;number;inhabitants;2013-2017
2014;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;246.3;341;134219;rate;number;inhabitants;2013-2017
2015;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;207.7;292;134805;rate;number;inhabitants;2013-2017
2013;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;236.7;325;133570;rate;number;inhabitants;2013-2017
2017;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;204.6;292;136320;rate;number;inhabitants;2013-2017
2016;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;217.7;307;135690;rate;number;inhabitants;2013-2017
2014;5;1;Shoulder surgery (acromion resection);Nord-Trøndelag;1;Day Surgery;246.3;341;134219;rate;number;inhabitants;2013-2017
2013;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;192.3;578;309815;rate;number;inhabitants;2013-2017
2015;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;182.9;564;317000;rate;number;inhabitants;2013-2017
2017;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;156.6;498;324463;rate;number;inhabitants;2013-2017
2014;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;216.4;658;313604;rate;number;inhabitants;2013-2017
2016;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;143.2;448;320932;rate;number;inhabitants;2013-2017
2013;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;192.3;578;309815;rate;number;inhabitants;2013-2017
2015;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;182.9;564;317000;rate;number;inhabitants;2013-2017
2017;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;156.6;498;324463;rate;number;inhabitants;2013-2017
2014;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;216.4;658;313604;rate;number;inhabitants;2013-2017
2016;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;143.2;448;320932;rate;number;inhabitants;2013-2017
2013;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;192.3;578;309815;rate;number;inhabitants;2013-2017
2015;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;182.9;564;317000;rate;number;inhabitants;2013-2017
2017;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;156.6;498;324463;rate;number;inhabitants;2013-2017
2014;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;216.4;658;313604;rate;number;inhabitants;2013-2017
2016;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;143.2;448;320932;rate;number;inhabitants;2013-2017
2013;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;192.3;578;309815;rate;number;inhabitants;2013-2017
2015;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;182.9;564;317000;rate;number;inhabitants;2013-2017
2017;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;156.6;498;324463;rate;number;inhabitants;2013-2017
2014;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;216.4;658;313604;rate;number;inhabitants;2013-2017
2016;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;143.2;448;320932;rate;number;inhabitants;2013-2017
2013;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;192.3;578;309815;rate;number;inhabitants;2013-2017
2015;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;182.9;564;317000;rate;number;inhabitants;2013-2017
2017;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;156.6;498;324463;rate;number;inhabitants;2013-2017
2014;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;216.4;658;313604;rate;number;inhabitants;2013-2017
2016;6;1;Shoulder surgery (acromion resection);St. Olavs;1;Day Surgery;143.2;448;320932;rate;number;inhabitants;2013-2017
2016;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;195;526;264248;rate;number;inhabitants;2013-2017
2017;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;172.7;471;264817;rate;number;inhabitants;2013-2017
2013;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;304.5;801;259484;rate;number;inhabitants;2013-2017
2014;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;268.6;713;261681;rate;number;inhabitants;2013-2017
2015;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;190.2;512;263254;rate;number;inhabitants;2013-2017
2016;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;195;526;264248;rate;number;inhabitants;2013-2017
2017;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;172.7;471;264817;rate;number;inhabitants;2013-2017
2013;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;304.5;801;259484;rate;number;inhabitants;2013-2017
2014;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;268.6;713;261681;rate;number;inhabitants;2013-2017
2015;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;190.2;512;263254;rate;number;inhabitants;2013-2017
2016;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;195;526;264248;rate;number;inhabitants;2013-2017
2017;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;172.7;471;264817;rate;number;inhabitants;2013-2017
2013;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;304.5;801;259484;rate;number;inhabitants;2013-2017
2014;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;268.6;713;261681;rate;number;inhabitants;2013-2017
2015;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;190.2;512;263254;rate;number;inhabitants;2013-2017
2016;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;195;526;264248;rate;number;inhabitants;2013-2017
2017;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;172.7;471;264817;rate;number;inhabitants;2013-2017
2013;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;304.5;801;259484;rate;number;inhabitants;2013-2017
2014;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;268.6;713;261681;rate;number;inhabitants;2013-2017
2015;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;190.2;512;263254;rate;number;inhabitants;2013-2017
2016;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;195;526;264248;rate;number;inhabitants;2013-2017
2017;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;172.7;471;264817;rate;number;inhabitants;2013-2017
2013;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;304.5;801;259484;rate;number;inhabitants;2013-2017
2014;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;268.6;713;261681;rate;number;inhabitants;2013-2017
2015;7;1;Shoulder surgery (acromion resection);Møre og Romsdal;1;Day Surgery;190.2;512;263254;rate;number;inhabitants;2013-2017
2016;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;140.1;162;110266;rate;number;inhabitants;2013-2017
2017;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;123.6;144;110230;rate;number;inhabitants;2013-2017
2014;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;190.5;215;109170;rate;number;inhabitants;2013-2017
2015;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;166.2;189;109530;rate;number;inhabitants;2013-2017
2013;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;280;315;108965;rate;number;inhabitants;2013-2017
2016;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;140.1;162;110266;rate;number;inhabitants;2013-2017
2017;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;123.6;144;110230;rate;number;inhabitants;2013-2017
2014;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;190.5;215;109170;rate;number;inhabitants;2013-2017
2015;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;166.2;189;109530;rate;number;inhabitants;2013-2017
2013;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;280;315;108965;rate;number;inhabitants;2013-2017
2016;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;140.1;162;110266;rate;number;inhabitants;2013-2017
2017;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;123.6;144;110230;rate;number;inhabitants;2013-2017
2014;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;190.5;215;109170;rate;number;inhabitants;2013-2017
2015;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;166.2;189;109530;rate;number;inhabitants;2013-2017
2013;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;280;315;108965;rate;number;inhabitants;2013-2017
2016;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;140.1;162;110266;rate;number;inhabitants;2013-2017
2017;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;123.6;144;110230;rate;number;inhabitants;2013-2017
2014;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;190.5;215;109170;rate;number;inhabitants;2013-2017
2015;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;166.2;189;109530;rate;number;inhabitants;2013-2017
2013;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;280;315;108965;rate;number;inhabitants;2013-2017
2016;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;140.1;162;110266;rate;number;inhabitants;2013-2017
2017;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;123.6;144;110230;rate;number;inhabitants;2013-2017
2014;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;190.5;215;109170;rate;number;inhabitants;2013-2017
2015;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;166.2;189;109530;rate;number;inhabitants;2013-2017
2013;8;1;Shoulder surgery (acromion resection);Førde;1;Day Surgery;280;315;108965;rate;number;inhabitants;2013-2017
2013;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;257.6;1059;434147;rate;number;inhabitants;2013-2017
2014;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;177.5;743;439777;rate;number;inhabitants;2013-2017
2015;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;140.7;595;444677;rate;number;inhabitants;2013-2017
2017;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;145.4;633;450597;rate;number;inhabitants;2013-2017
2016;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;131.6;565;447837;rate;number;inhabitants;2013-2017
2013;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;257.6;1059;434147;rate;number;inhabitants;2013-2017
2014;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;177.5;743;439777;rate;number;inhabitants;2013-2017
2015;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;140.7;595;444677;rate;number;inhabitants;2013-2017
2017;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;145.4;633;450597;rate;number;inhabitants;2013-2017
2016;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;131.6;565;447837;rate;number;inhabitants;2013-2017
2013;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;257.6;1059;434147;rate;number;inhabitants;2013-2017
2014;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;177.5;743;439777;rate;number;inhabitants;2013-2017
2015;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;140.7;595;444677;rate;number;inhabitants;2013-2017
2017;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;145.4;633;450597;rate;number;inhabitants;2013-2017
2016;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;131.6;565;447837;rate;number;inhabitants;2013-2017
2013;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;257.6;1059;434147;rate;number;inhabitants;2013-2017
2014;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;177.5;743;439777;rate;number;inhabitants;2013-2017
2015;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;140.7;595;444677;rate;number;inhabitants;2013-2017
2017;9;1;Shoulder surgery (acromion resection);Bergen;1;Day Surgery;145.4;633;450597;rate;number;inhabitants;2013-2017
