area;level3;level3_name;area_name;level2;level2_name;level1;level1_name;value;denominator;numerator;type;denominator_name;numerator_name;period
13;4;All;Stavanger;1;Patients;1;Admissions;102.6;30193;3099;rate;born;number;2009-2014
14;4;All;Østfold;1;Patients;1;Admissions;101.2;18305;1852;rate;born;number;2009-2014
15;4;All;AHUS;1;Patients;1;Admissions;91.9;34433;3164;rate;born;number;2009-2014
16;4;All;OUS;1;Patients;1;Admissions;81.9;53323;4367;rate;born;number;2009-2014
19;4;All;Innlandet;1;Patients;1;Admissions;83.1;22695;1886;rate;born;number;2009-2014
20;4;All;Vestre Viken;1;Patients;1;Admissions;83.9;30220;2534;rate;born;number;2009-2014
21;4;All;Vestfold;1;Patients;1;Admissions;155.8;13750;2142;rate;born;number;2009-2014
22;4;All;Telemark;1;Patients;1;Admissions;139.8;10337;1445;rate;born;number;2009-2014
23;4;All;Sørlandet;1;Patients;1;Admissions;125.8;21131;2659;rate;born;number;2009-2014
8888;4;All;Norway;1;Patients;1;Admissions;94.4;368068;34738;rate;born;number;2009-2014
2;5;Less than 34.0 weeks;UNN/Finnmark;2;Lenght of stay;1;Admissions;43790.5;315;13794;rate;born;number;2009-2014
4;5;Less than 34.0 weeks;Nordland;2;Lenght of stay;1;Admissions;39996.4;278;11119;rate;born;number;2009-2014
7;5;Less than 34.0 weeks;Trøndelag;2;Lenght of stay;1;Admissions;35097.1;587;20602;rate;born;number;2009-2014
8;5;Less than 34.0 weeks;Møre og Romsdal;2;Lenght of stay;1;Admissions;36955.3;291;10754;rate;born;number;2009-2014
11;5;Less than 34.0 weeks;Bergen/Førde;2;Lenght of stay;1;Admissions;32475.5;776;25201;rate;born;number;2009-2014
12;5;Less than 34.0 weeks;Fonna;2;Lenght of stay;1;Admissions;33365.2;293;9776;rate;born;number;2009-2014
13;5;Less than 34.0 weeks;Stavanger;2;Lenght of stay;1;Admissions;33471.9;640;21422;rate;born;number;2009-2014
14;5;Less than 34.0 weeks;Østfold;2;Lenght of stay;1;Admissions;36600.6;338;12371;rate;born;number;2009-2014
15;5;Less than 34.0 weeks;AHUS;2;Lenght of stay;1;Admissions;38802.4;668;25920;rate;born;number;2009-2014
16;5;Less than 34.0 weeks;OUS;2;Lenght of stay;1;Admissions;29025.1;1077;31260;rate;born;number;2009-2014
19;5;Less than 34.0 weeks;Innlandet;2;Lenght of stay;1;Admissions;32416.3;442;14328;rate;born;number;2009-2014
20;5;Less than 34.0 weeks;Vestre Viken;2;Lenght of stay;1;Admissions;34190.3;599;20480;rate;born;number;2009-2014
21;5;Less than 34.0 weeks;Vestfold;2;Lenght of stay;1;Admissions;32992.6;270;8908;rate;born;number;2009-2014
22;5;Less than 34.0 weeks;Telemark;2;Lenght of stay;1;Admissions;34300;260;8918;rate;born;number;2009-2014
23;5;Less than 34.0 weeks;Sørlandet;2;Lenght of stay;1;Admissions;38463.8;373;14347;rate;born;number;2009-2014
8888;5;Less than 34.0 weeks;Norway;2;Lenght of stay;1;Admissions;34577.5;7207;249200;rate;born;number;2009-2014
2;6;34.0 to 36.6 weeks;UNN/Finnmark;2;Lenght of stay;1;Admissions;7901;697;5507;rate;born;number;2009-2014
4;6;34.0 to 36.6 weeks;Nordland;2;Lenght of stay;1;Admissions;5468.7;638;3489;rate;born;number;2009-2014
7;6;34.0 to 36.6 weeks;Trøndelag;2;Lenght of stay;1;Admissions;5295.3;1368;7244;rate;born;number;2009-2014
8;6;34.0 to 36.6 weeks;Møre og Romsdal;2;Lenght of stay;1;Admissions;5116.4;687;3515;rate;born;number;2009-2014
11;6;34.0 to 36.6 weeks;Bergen/Førde;2;Lenght of stay;1;Admissions;3440.1;1754;6034;rate;born;number;2009-2014
12;6;34.0 to 36.6 weeks;Fonna;2;Lenght of stay;1;Admissions;6744;664;4478;rate;born;number;2009-2014
13;6;34.0 to 36.6 weeks;Stavanger;2;Lenght of stay;1;Admissions;4112.4;1441;5926;rate;born;number;2009-2014
14;6;34.0 to 36.6 weeks;Østfold;2;Lenght of stay;1;Admissions;6662.6;827;5510;rate;born;number;2009-2014
15;6;34.0 to 36.6 weeks;AHUS;2;Lenght of stay;1;Admissions;5200.9;1598;8311;rate;born;number;2009-2014
16;6;34.0 to 36.6 weeks;OUS;2;Lenght of stay;1;Admissions;4018.3;2185;8780;rate;born;number;2009-2014
19;6;34.0 to 36.6 weeks;Innlandet;2;Lenght of stay;1;Admissions;5669.2;1176;6667;rate;born;number;2009-2014
20;6;34.0 to 36.6 weeks;Vestre Viken;2;Lenght of stay;1;Admissions;3823.8;1277;4883;rate;born;number;2009-2014
21;6;34.0 to 36.6 weeks;Vestfold;2;Lenght of stay;1;Admissions;6727.6;613;4124;rate;born;number;2009-2014
22;6;34.0 to 36.6 weeks;Telemark;2;Lenght of stay;1;Admissions;6887.7;481;3313;rate;born;number;2009-2014
23;6;34.0 to 36.6 weeks;Sørlandet;2;Lenght of stay;1;Admissions;6335.7;1004;6361;rate;born;number;2009-2014
8888;6;34.0 to 36.6 weeks;Norway;2;Lenght of stay;1;Admissions;5127.5;16410;84142;rate;born;number;2009-2014
2;7;More than 36.6 weeks (term infants);UNN/Finnmark;2;Lenght of stay;1;Admissions;307.6;16700;5137;rate;born;number;2009-2014
4;7;More than 36.6 weeks (term infants);Nordland;2;Lenght of stay;1;Admissions;475.1;12705;6036;rate;born;number;2009-2014
7;7;More than 36.6 weeks (term infants);Trøndelag;2;Lenght of stay;1;Admissions;336;29658;9966;rate;born;number;2009-2014
8;7;More than 36.6 weeks (term infants);Møre og Romsdal;2;Lenght of stay;1;Admissions;375.8;16118;6057;rate;born;number;2009-2014
11;7;More than 36.6 weeks (term infants);Bergen/Førde;2;Lenght of stay;1;Admissions;173.2;37594;6510;rate;born;number;2009-2014
12;7;More than 36.6 weeks (term infants);Fonna;2;Lenght of stay;1;Admissions;496.7;11846;5884;rate;born;number;2009-2014
13;7;More than 36.6 weeks (term infants);Stavanger;2;Lenght of stay;1;Admissions;332.1;27704;9200;rate;born;number;2009-2014
14;7;More than 36.6 weeks (term infants);Østfold;2;Lenght of stay;1;Admissions;396;17078;6763;rate;born;number;2009-2014
15;7;More than 36.6 weeks (term infants);AHUS;2;Lenght of stay;1;Admissions;321.8;32055;10314;rate;born;number;2009-2014
16;7;More than 36.6 weeks (term infants);OUS;2;Lenght of stay;1;Admissions;252.1;49765;12545;rate;born;number;2009-2014
19;7;More than 36.6 weeks (term infants);Innlandet;2;Lenght of stay;1;Admissions;327.2;20787;6801;rate;born;number;2009-2014
20;7;More than 36.6 weeks (term infants);Vestre Viken;2;Lenght of stay;1;Admissions;237.7;28225;6710;rate;born;number;2009-2014
21;7;More than 36.6 weeks (term infants);Vestfold;2;Lenght of stay;1;Admissions;518.2;12857;6662;rate;born;number;2009-2014
22;7;More than 36.6 weeks (term infants);Telemark;2;Lenght of stay;1;Admissions;513.5;9527;4892;rate;born;number;2009-2014
23;7;More than 36.6 weeks (term infants);Sørlandet;2;Lenght of stay;1;Admissions;409.9;19630;8046;rate;born;number;2009-2014
8888;7;More than 36.6 weeks (term infants);Norway;2;Lenght of stay;1;Admissions;325.9;342249;111523;rate;born;number;2009-2014
2;8;All;UNN/Finnmark;2;Lenght of stay;1;Admissions;1375.2;17771;24438;rate;born;number;2009-2014
4;8;All;Nordland;2;Lenght of stay;1;Admissions;1511.7;13656;20644;rate;born;number;2009-2014
7;8;All;Trøndelag;2;Lenght of stay;1;Admissions;1193.1;31692;37812;rate;born;number;2009-2014
8;8;All;Møre og Romsdal;2;Lenght of stay;1;Admissions;1185.9;17140;20326;rate;born;number;2009-2014
11;8;All;Bergen/Førde;2;Lenght of stay;1;Admissions;932.9;40458;37745;rate;born;number;2009-2014
12;8;All;Fonna;2;Lenght of stay;1;Admissions;1553.4;12964;20138;rate;born;number;2009-2014
13;8;All;Stavanger;2;Lenght of stay;1;Admissions;1210.5;30193;36548;rate;born;number;2009-2014
14;8;All;Østfold;2;Lenght of stay;1;Admissions;1346.3;18305;24644;rate;born;number;2009-2014
15;8;All;AHUS;2;Lenght of stay;1;Admissions;1293.7;34433;44545;rate;born;number;2009-2014
16;8;All;OUS;2;Lenght of stay;1;Admissions;986.2;53323;52585;rate;born;number;2009-2014
19;8;All;Innlandet;2;Lenght of stay;1;Admissions;1224.8;22695;27796;rate;born;number;2009-2014
20;8;All;Vestre Viken;2;Lenght of stay;1;Admissions;1061.3;30220;32073;rate;born;number;2009-2014
21;8;All;Vestfold;2;Lenght of stay;1;Admissions;1432.3;13750;19694;rate;born;number;2009-2014
22;8;All;Telemark;2;Lenght of stay;1;Admissions;1656.5;10337;17123;rate;born;number;2009-2014
23;8;All;Sørlandet;2;Lenght of stay;1;Admissions;1360.7;21131;28754;rate;born;number;2009-2014
8888;8;All;Norway;2;Lenght of stay;1;Admissions;1208.6;368068;444865;rate;born;number;2009-2014
2;9;Less than 34.0 weeks;UNN/Finnmark;3;Patients;2;Antibiotic treatment;552.4;315;174;rate;born;number;2009-2014
4;9;Less than 34.0 weeks;Nordland;3;Patients;2;Antibiotic treatment;500;278;139;rate;born;number;2009-2014
7;9;Less than 34.0 weeks;Trøndelag;3;Patients;2;Antibiotic treatment;480.4;587;282;rate;born;number;2009-2014
8;9;Less than 34.0 weeks;Møre og Romsdal;3;Patients;2;Antibiotic treatment;491.4;291;143;rate;born;number;2009-2014
11;9;Less than 34.0 weeks;Bergen/Førde;3;Patients;2;Antibiotic treatment;586.3;776;455;rate;born;number;2009-2014
12;9;Less than 34.0 weeks;Fonna;3;Patients;2;Antibiotic treatment;471;293;138;rate;born;number;2009-2014
13;9;Less than 34.0 weeks;Stavanger;3;Patients;2;Antibiotic treatment;595.3;640;381;rate;born;number;2009-2014
14;9;Less than 34.0 weeks;Østfold;3;Patients;2;Antibiotic treatment;541.4;338;183;rate;born;number;2009-2014
15;9;Less than 34.0 weeks;AHUS;3;Patients;2;Antibiotic treatment;434.1;668;290;rate;born;number;2009-2014
16;9;Less than 34.0 weeks;OUS;3;Patients;2;Antibiotic treatment;434.5;1077;468;rate;born;number;2009-2014
19;9;Less than 34.0 weeks;Innlandet;3;Patients;2;Antibiotic treatment;407.2;442;180;rate;born;number;2009-2014
20;9;Less than 34.0 weeks;Vestre Viken;3;Patients;2;Antibiotic treatment;672.8;599;403;rate;born;number;2009-2014
21;9;Less than 34.0 weeks;Vestfold;3;Patients;2;Antibiotic treatment;422.2;270;114;rate;born;number;2009-2014
22;9;Less than 34.0 weeks;Telemark;3;Patients;2;Antibiotic treatment;526.9;260;137;rate;born;number;2009-2014
23;9;Less than 34.0 weeks;Sørlandet;3;Patients;2;Antibiotic treatment;613.9;373;229;rate;born;number;2009-2014
8888;9;Less than 34.0 weeks;Norway;3;Patients;2;Antibiotic treatment;515.6;7207;3716;rate;born;number;2009-2014
2;10;34.0 to 36.6 weeks;UNN/Finnmark;3;Patients;2;Antibiotic treatment;99;697;69;rate;born;number;2009-2014
4;10;34.0 to 36.6 weeks;Nordland;3;Patients;2;Antibiotic treatment;105;638;67;rate;born;number;2009-2014
7;10;34.0 to 36.6 weeks;Trøndelag;3;Patients;2;Antibiotic treatment;74.6;1368;102;rate;born;number;2009-2014
8;10;34.0 to 36.6 weeks;Møre og Romsdal;3;Patients;2;Antibiotic treatment;77.1;687;53;rate;born;number;2009-2014
11;10;34.0 to 36.6 weeks;Bergen/Førde;3;Patients;2;Antibiotic treatment;97.5;1754;171;rate;born;number;2009-2014
12;10;34.0 to 36.6 weeks;Fonna;3;Patients;2;Antibiotic treatment;72.3;664;48;rate;born;number;2009-2014
13;10;34.0 to 36.6 weeks;Stavanger;3;Patients;2;Antibiotic treatment;145;1441;209;rate;born;number;2009-2014
14;10;34.0 to 36.6 weeks;Østfold;3;Patients;2;Antibiotic treatment;89.5;827;74;rate;born;number;2009-2014
15;10;34.0 to 36.6 weeks;AHUS;3;Patients;2;Antibiotic treatment;69.5;1598;111;rate;born;number;2009-2014
16;10;34.0 to 36.6 weeks;OUS;3;Patients;2;Antibiotic treatment;108;2185;236;rate;born;number;2009-2014
19;10;34.0 to 36.6 weeks;Innlandet;3;Patients;2;Antibiotic treatment;74;1176;87;rate;born;number;2009-2014
20;10;34.0 to 36.6 weeks;Vestre Viken;3;Patients;2;Antibiotic treatment;154.3;1277;197;rate;born;number;2009-2014
21;10;34.0 to 36.6 weeks;Vestfold;3;Patients;2;Antibiotic treatment;78.3;613;48;rate;born;number;2009-2014
22;10;34.0 to 36.6 weeks;Telemark;3;Patients;2;Antibiotic treatment;83.2;481;40;rate;born;number;2009-2014
23;10;34.0 to 36.6 weeks;Sørlandet;3;Patients;2;Antibiotic treatment;146.4;1004;147;rate;born;number;2009-2014
8888;10;34.0 to 36.6 weeks;Norway;3;Patients;2;Antibiotic treatment;101.1;16410;1659;rate;born;number;2009-2014
2;11;More than 36.6 weeks (term infants);UNN/Finnmark;3;Patients;2;Antibiotic treatment;23.2;16700;387;rate;born;number;2009-2014
4;11;More than 36.6 weeks (term infants);Nordland;3;Patients;2;Antibiotic treatment;30.9;12705;392;rate;born;number;2009-2014
7;11;More than 36.6 weeks (term infants);Trøndelag;3;Patients;2;Antibiotic treatment;25.2;29658;747;rate;born;number;2009-2014
8;11;More than 36.6 weeks (term infants);Møre og Romsdal;3;Patients;2;Antibiotic treatment;23.1;16118;373;rate;born;number;2009-2014
11;11;More than 36.6 weeks (term infants);Bergen/Førde;3;Patients;2;Antibiotic treatment;15.9;37594;598;rate;born;number;2009-2014
12;11;More than 36.6 weeks (term infants);Fonna;3;Patients;2;Antibiotic treatment;23.6;11846;279;rate;born;number;2009-2014
13;11;More than 36.6 weeks (term infants);Stavanger;3;Patients;2;Antibiotic treatment;36.7;27704;1016;rate;born;number;2009-2014
14;11;More than 36.6 weeks (term infants);Østfold;3;Patients;2;Antibiotic treatment;30.4;17078;519;rate;born;number;2009-2014
15;11;More than 36.6 weeks (term infants);AHUS;3;Patients;2;Antibiotic treatment;20.5;32055;656;rate;born;number;2009-2014
16;11;More than 36.6 weeks (term infants);OUS;3;Patients;2;Antibiotic treatment;24;49765;1192;rate;born;number;2009-2014
19;11;More than 36.6 weeks (term infants);Innlandet;3;Patients;2;Antibiotic treatment;21.4;20787;445;rate;born;number;2009-2014
20;11;More than 36.6 weeks (term infants);Vestre Viken;3;Patients;2;Antibiotic treatment;30.6;28225;864;rate;born;number;2009-2014
21;11;More than 36.6 weeks (term infants);Vestfold;3;Patients;2;Antibiotic treatment;26.1;12857;336;rate;born;number;2009-2014
22;11;More than 36.6 weeks (term infants);Telemark;3;Patients;2;Antibiotic treatment;23.9;9527;228;rate;born;number;2009-2014
23;11;More than 36.6 weeks (term infants);Sørlandet;3;Patients;2;Antibiotic treatment;30.6;19630;600;rate;born;number;2009-2014
8888;11;More than 36.6 weeks (term infants);Norway;3;Patients;2;Antibiotic treatment;25.2;342249;8632;rate;born;number;2009-2014
2;12;All;UNN/Finnmark;3;Patients;2;Antibiotic treatment;35.5;17771;630;rate;born;number;2009-2014
4;12;All;Nordland;3;Patients;2;Antibiotic treatment;43.8;13656;598;rate;born;number;2009-2014
7;12;All;Trøndelag;3;Patients;2;Antibiotic treatment;35.7;31692;1131;rate;born;number;2009-2014
8;12;All;Møre og Romsdal;3;Patients;2;Antibiotic treatment;33.2;17140;569;rate;born;number;2009-2014
11;12;All;Bergen/Førde;3;Patients;2;Antibiotic treatment;30.3;40458;1224;rate;born;number;2009-2014
12;12;All;Fonna;3;Patients;2;Antibiotic treatment;35.9;12964;465;rate;born;number;2009-2014
13;12;All;Stavanger;3;Patients;2;Antibiotic treatment;53.2;30193;1606;rate;born;number;2009-2014
14;12;All;Østfold;3;Patients;2;Antibiotic treatment;42.4;18305;776;rate;born;number;2009-2014
15;12;All;AHUS;3;Patients;2;Antibiotic treatment;30.7;34433;1057;rate;born;number;2009-2014
16;12;All;OUS;3;Patients;2;Antibiotic treatment;35.6;53323;1896;rate;born;number;2009-2014
19;12;All;Innlandet;3;Patients;2;Antibiotic treatment;31.4;22695;712;rate;born;number;2009-2014
20;12;All;Vestre Viken;3;Patients;2;Antibiotic treatment;48.4;30220;1464;rate;born;number;2009-2014
21;12;All;Vestfold;3;Patients;2;Antibiotic treatment;36.2;13750;498;rate;born;number;2009-2014
22;12;All;Telemark;3;Patients;2;Antibiotic treatment;39.2;10337;405;rate;born;number;2009-2014
23;12;All;Sørlandet;3;Patients;2;Antibiotic treatment;46.2;21131;976;rate;born;number;2009-2014
8888;12;All;Norway;3;Patients;2;Antibiotic treatment;38.1;368068;14007;rate;born;number;2009-2014
2;13;Less than 34.0 weeks;UNN/Finnmark;4;Treatment days;2;Antibiotic treatment;5015.9;315;1580;rate;born;number;2009-2014
4;13;Less than 34.0 weeks;Nordland;4;Treatment days;2;Antibiotic treatment;5550.4;278;1543;rate;born;number;2009-2014
7;13;Less than 34.0 weeks;Trøndelag;4;Treatment days;2;Antibiotic treatment;4521.3;587;2654;rate;born;number;2009-2014
8;13;Less than 34.0 weeks;Møre og Romsdal;4;Treatment days;2;Antibiotic treatment;8051.5;291;2343;rate;born;number;2009-2014
11;13;Less than 34.0 weeks;Bergen/Førde;4;Treatment days;2;Antibiotic treatment;5554.1;776;4310;rate;born;number;2009-2014
12;13;Less than 34.0 weeks;Fonna;4;Treatment days;2;Antibiotic treatment;3747.4;293;1098;rate;born;number;2009-2014
13;13;Less than 34.0 weeks;Stavanger;4;Treatment days;2;Antibiotic treatment;4650;640;2976;rate;born;number;2009-2014
14;13;Less than 34.0 weeks;Østfold;4;Treatment days;2;Antibiotic treatment;5275.1;338;1783;rate;born;number;2009-2014
15;13;Less than 34.0 weeks;AHUS;4;Treatment days;2;Antibiotic treatment;5702.1;668;3809;rate;born;number;2009-2014
16;13;Less than 34.0 weeks;OUS;4;Treatment days;2;Antibiotic treatment;4292.5;1077;4623;rate;born;number;2009-2014
19;13;Less than 34.0 weeks;Innlandet;4;Treatment days;2;Antibiotic treatment;4133.5;442;1827;rate;born;number;2009-2014
20;13;Less than 34.0 weeks;Vestre Viken;4;Treatment days;2;Antibiotic treatment;5272.1;599;3158;rate;born;number;2009-2014
21;13;Less than 34.0 weeks;Vestfold;4;Treatment days;2;Antibiotic treatment;3592.6;270;970;rate;born;number;2009-2014
22;13;Less than 34.0 weeks;Telemark;4;Treatment days;2;Antibiotic treatment;5534.6;260;1439;rate;born;number;2009-2014
23;13;Less than 34.0 weeks;Sørlandet;4;Treatment days;2;Antibiotic treatment;5983.9;373;2232;rate;born;number;2009-2014
8888;13;Less than 34.0 weeks;Norway;4;Treatment days;2;Antibiotic treatment;5043;7207;36345;rate;born;number;2009-2014
2;14;34.0 to 36.6 weeks;UNN/Finnmark;4;Treatment days;2;Antibiotic treatment;562.4;697;392;rate;born;number;2009-2014
4;14;34.0 to 36.6 weeks;Nordland;4;Treatment days;2;Antibiotic treatment;639.5;638;408;rate;born;number;2009-2014
7;14;34.0 to 36.6 weeks;Trøndelag;4;Treatment days;2;Antibiotic treatment;390.4;1368;534;rate;born;number;2009-2014
8;14;34.0 to 36.6 weeks;Møre og Romsdal;4;Treatment days;2;Antibiotic treatment;489.1;687;336;rate;born;number;2009-2014
11;14;34.0 to 36.6 weeks;Bergen/Førde;4;Treatment days;2;Antibiotic treatment;741.2;1754;1300;rate;born;number;2009-2014
12;14;34.0 to 36.6 weeks;Fonna;4;Treatment days;2;Antibiotic treatment;480.4;664;319;rate;born;number;2009-2014
13;14;34.0 to 36.6 weeks;Stavanger;4;Treatment days;2;Antibiotic treatment;711.3;1441;1025;rate;born;number;2009-2014
14;14;34.0 to 36.6 weeks;Østfold;4;Treatment days;2;Antibiotic treatment;529.6;827;438;rate;born;number;2009-2014
15;14;34.0 to 36.6 weeks;AHUS;4;Treatment days;2;Antibiotic treatment;460.6;1598;736;rate;born;number;2009-2014
16;14;34.0 to 36.6 weeks;OUS;4;Treatment days;2;Antibiotic treatment;540;2185;1180;rate;born;number;2009-2014
19;14;34.0 to 36.6 weeks;Innlandet;4;Treatment days;2;Antibiotic treatment;464.3;1176;546;rate;born;number;2009-2014
20;14;34.0 to 36.6 weeks;Vestre Viken;4;Treatment days;2;Antibiotic treatment;544.2;1277;695;rate;born;number;2009-2014
21;14;34.0 to 36.6 weeks;Vestfold;4;Treatment days;2;Antibiotic treatment;332.8;613;204;rate;born;number;2009-2014
22;14;34.0 to 36.6 weeks;Telemark;4;Treatment days;2;Antibiotic treatment;409.6;481;197;rate;born;number;2009-2014
23;14;34.0 to 36.6 weeks;Sørlandet;4;Treatment days;2;Antibiotic treatment;783.9;1004;787;rate;born;number;2009-2014
8888;14;34.0 to 36.6 weeks;Norway;4;Treatment days;2;Antibiotic treatment;554.4;16410;9097;rate;born;number;2009-2014
2;15;More than 36.6 weeks (term infants);UNN/Finnmark;4;Treatment days;2;Antibiotic treatment;130.1;16700;2173;rate;born;number;2009-2014
4;15;More than 36.6 weeks (term infants);Nordland;4;Treatment days;2;Antibiotic treatment;185.9;12705;2362;rate;born;number;2009-2014
7;15;More than 36.6 weeks (term infants);Trøndelag;4;Treatment days;2;Antibiotic treatment;160;29658;4744;rate;born;number;2009-2014
8;15;More than 36.6 weeks (term infants);Møre og Romsdal;4;Treatment days;2;Antibiotic treatment;152.9;16118;2464;rate;born;number;2009-2014
11;15;More than 36.6 weeks (term infants);Bergen/Førde;4;Treatment days;2;Antibiotic treatment;81.1;37594;3047;rate;born;number;2009-2014
