year;area;level2;level2_name;area_name;level1;level1_name;value;numerator;denominator;type;name_numerator;name_denominator;period
2016;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;244.5;191;76149;rate;antall;innbyggere;2013-2017
2014;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;346.1;266;75605;rate;antall;innbyggere;2013-2017
2017;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;287.7;226;76167;rate;antall;innbyggere;2013-2017
2013;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;238.1;181;75207;rate;antall;innbyggere;2013-2017
2015;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;270.9;210;75758;rate;antall;innbyggere;2013-2017
2016;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;244.5;191;76149;rate;antall;innbyggere;2013-2017
2014;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;346.1;266;75605;rate;antall;innbyggere;2013-2017
2017;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;287.7;226;76167;rate;antall;innbyggere;2013-2017
2013;1;1;Skulderkirurgi (Acromion);Finnmark;1;Dagkirurgi;238.1;181;75207;rate;antall;innbyggere;2013-2017
2017;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;210.8;418;192407;rate;antall;innbyggere;2013-2017
2014;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;249.2;479;189712;rate;antall;innbyggere;2013-2017
2015;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;235.2;455;190500;rate;antall;innbyggere;2013-2017
2013;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;219.5;417;188241;rate;antall;innbyggere;2013-2017
2016;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;260.9;511;191730;rate;antall;innbyggere;2013-2017
2017;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;210.8;418;192407;rate;antall;innbyggere;2013-2017
2014;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;249.2;479;189712;rate;antall;innbyggere;2013-2017
2015;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;235.2;455;190500;rate;antall;innbyggere;2013-2017
2013;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;219.5;417;188241;rate;antall;innbyggere;2013-2017
2016;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;260.9;511;191730;rate;antall;innbyggere;2013-2017
2017;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;210.8;418;192407;rate;antall;innbyggere;2013-2017
2014;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;249.2;479;189712;rate;antall;innbyggere;2013-2017
2015;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;235.2;455;190500;rate;antall;innbyggere;2013-2017
2013;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;219.5;417;188241;rate;antall;innbyggere;2013-2017
2016;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;260.9;511;191730;rate;antall;innbyggere;2013-2017
2017;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;210.8;418;192407;rate;antall;innbyggere;2013-2017
2014;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;249.2;479;189712;rate;antall;innbyggere;2013-2017
2015;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;235.2;455;190500;rate;antall;innbyggere;2013-2017
2013;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;219.5;417;188241;rate;antall;innbyggere;2013-2017
2016;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;260.9;511;191730;rate;antall;innbyggere;2013-2017
2017;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;210.8;418;192407;rate;antall;innbyggere;2013-2017
2014;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;249.2;479;189712;rate;antall;innbyggere;2013-2017
2015;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;235.2;455;190500;rate;antall;innbyggere;2013-2017
2013;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;219.5;417;188241;rate;antall;innbyggere;2013-2017
2016;2;1;Skulderkirurgi (Acromion);UNN;1;Dagkirurgi;260.9;511;191730;rate;antall;innbyggere;2013-2017
2014;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;166.8;237;136931;rate;antall;innbyggere;2013-2017
2015;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;181.4;261;137343;rate;antall;innbyggere;2013-2017
2017;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;185.6;272;138813;rate;antall;innbyggere;2013-2017
2016;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;186.8;271;138164;rate;antall;innbyggere;2013-2017
2013;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;165.7;233;136442;rate;antall;innbyggere;2013-2017
2014;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;166.8;237;136931;rate;antall;innbyggere;2013-2017
2015;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;181.4;261;137343;rate;antall;innbyggere;2013-2017
2017;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;185.6;272;138813;rate;antall;innbyggere;2013-2017
2016;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;186.8;271;138164;rate;antall;innbyggere;2013-2017
2013;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;165.7;233;136442;rate;antall;innbyggere;2013-2017
2014;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;166.8;237;136931;rate;antall;innbyggere;2013-2017
2015;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;181.4;261;137343;rate;antall;innbyggere;2013-2017
2017;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;185.6;272;138813;rate;antall;innbyggere;2013-2017
2016;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;186.8;271;138164;rate;antall;innbyggere;2013-2017
2013;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;165.7;233;136442;rate;antall;innbyggere;2013-2017
2014;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;166.8;237;136931;rate;antall;innbyggere;2013-2017
2015;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;181.4;261;137343;rate;antall;innbyggere;2013-2017
2017;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;185.6;272;138813;rate;antall;innbyggere;2013-2017
2016;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;186.8;271;138164;rate;antall;innbyggere;2013-2017
2013;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;165.7;233;136442;rate;antall;innbyggere;2013-2017
2014;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;166.8;237;136931;rate;antall;innbyggere;2013-2017
2015;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;181.4;261;137343;rate;antall;innbyggere;2013-2017
2017;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;185.6;272;138813;rate;antall;innbyggere;2013-2017
2016;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;186.8;271;138164;rate;antall;innbyggere;2013-2017
2013;3;1;Skulderkirurgi (Acromion);Nordland;1;Dagkirurgi;165.7;233;136442;rate;antall;innbyggere;2013-2017
2015;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;118.7;98;78393;rate;antall;innbyggere;2013-2017
2013;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;162.1;132;78244;rate;antall;innbyggere;2013-2017
2017;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;103;88;78614;rate;antall;innbyggere;2013-2017
2014;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;176.5;145;78492;rate;antall;innbyggere;2013-2017
2016;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;101.6;86;78604;rate;antall;innbyggere;2013-2017
2015;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;118.7;98;78393;rate;antall;innbyggere;2013-2017
2013;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;162.1;132;78244;rate;antall;innbyggere;2013-2017
2017;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;103;88;78614;rate;antall;innbyggere;2013-2017
2014;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;176.5;145;78492;rate;antall;innbyggere;2013-2017
2016;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;101.6;86;78604;rate;antall;innbyggere;2013-2017
2015;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;118.7;98;78393;rate;antall;innbyggere;2013-2017
2013;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;162.1;132;78244;rate;antall;innbyggere;2013-2017
2017;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;103;88;78614;rate;antall;innbyggere;2013-2017
2014;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;176.5;145;78492;rate;antall;innbyggere;2013-2017
2016;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;101.6;86;78604;rate;antall;innbyggere;2013-2017
2015;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;118.7;98;78393;rate;antall;innbyggere;2013-2017
2013;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;162.1;132;78244;rate;antall;innbyggere;2013-2017
2017;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;103;88;78614;rate;antall;innbyggere;2013-2017
2014;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;176.5;145;78492;rate;antall;innbyggere;2013-2017
2016;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;101.6;86;78604;rate;antall;innbyggere;2013-2017
2015;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;118.7;98;78393;rate;antall;innbyggere;2013-2017
2013;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;162.1;132;78244;rate;antall;innbyggere;2013-2017
2017;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;103;88;78614;rate;antall;innbyggere;2013-2017
2014;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;176.5;145;78492;rate;antall;innbyggere;2013-2017
2016;4;1;Skulderkirurgi (Acromion);Helgeland;1;Dagkirurgi;101.6;86;78604;rate;antall;innbyggere;2013-2017
2015;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;207.7;292;134805;rate;antall;innbyggere;2013-2017
2013;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;236.7;325;133570;rate;antall;innbyggere;2013-2017
2017;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;204.6;292;136320;rate;antall;innbyggere;2013-2017
2016;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;217.7;307;135690;rate;antall;innbyggere;2013-2017
2014;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;246.3;341;134219;rate;antall;innbyggere;2013-2017
2015;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;207.7;292;134805;rate;antall;innbyggere;2013-2017
2013;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;236.7;325;133570;rate;antall;innbyggere;2013-2017
2017;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;204.6;292;136320;rate;antall;innbyggere;2013-2017
2016;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;217.7;307;135690;rate;antall;innbyggere;2013-2017
2014;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;246.3;341;134219;rate;antall;innbyggere;2013-2017
2015;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;207.7;292;134805;rate;antall;innbyggere;2013-2017
2013;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;236.7;325;133570;rate;antall;innbyggere;2013-2017
2017;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;204.6;292;136320;rate;antall;innbyggere;2013-2017
2016;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;217.7;307;135690;rate;antall;innbyggere;2013-2017
2014;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;246.3;341;134219;rate;antall;innbyggere;2013-2017
2015;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;207.7;292;134805;rate;antall;innbyggere;2013-2017
2013;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;236.7;325;133570;rate;antall;innbyggere;2013-2017
2017;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;204.6;292;136320;rate;antall;innbyggere;2013-2017
2016;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;217.7;307;135690;rate;antall;innbyggere;2013-2017
2014;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;246.3;341;134219;rate;antall;innbyggere;2013-2017
2015;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;207.7;292;134805;rate;antall;innbyggere;2013-2017
2013;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;236.7;325;133570;rate;antall;innbyggere;2013-2017
2017;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;204.6;292;136320;rate;antall;innbyggere;2013-2017
2016;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;217.7;307;135690;rate;antall;innbyggere;2013-2017
2014;5;1;Skulderkirurgi (Acromion);Nord-Trøndelag;1;Dagkirurgi;246.3;341;134219;rate;antall;innbyggere;2013-2017
2013;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;192.3;578;309815;rate;antall;innbyggere;2013-2017
2015;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;182.9;564;317000;rate;antall;innbyggere;2013-2017
2017;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;156.6;498;324463;rate;antall;innbyggere;2013-2017
2014;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;216.4;658;313604;rate;antall;innbyggere;2013-2017
2016;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;143.2;448;320932;rate;antall;innbyggere;2013-2017
2013;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;192.3;578;309815;rate;antall;innbyggere;2013-2017
2015;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;182.9;564;317000;rate;antall;innbyggere;2013-2017
2017;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;156.6;498;324463;rate;antall;innbyggere;2013-2017
2014;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;216.4;658;313604;rate;antall;innbyggere;2013-2017
2016;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;143.2;448;320932;rate;antall;innbyggere;2013-2017
2013;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;192.3;578;309815;rate;antall;innbyggere;2013-2017
2015;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;182.9;564;317000;rate;antall;innbyggere;2013-2017
2017;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;156.6;498;324463;rate;antall;innbyggere;2013-2017
2014;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;216.4;658;313604;rate;antall;innbyggere;2013-2017
2016;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;143.2;448;320932;rate;antall;innbyggere;2013-2017
2013;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;192.3;578;309815;rate;antall;innbyggere;2013-2017
2015;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;182.9;564;317000;rate;antall;innbyggere;2013-2017
2017;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;156.6;498;324463;rate;antall;innbyggere;2013-2017
2014;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;216.4;658;313604;rate;antall;innbyggere;2013-2017
2016;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;143.2;448;320932;rate;antall;innbyggere;2013-2017
2013;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;192.3;578;309815;rate;antall;innbyggere;2013-2017
2015;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;182.9;564;317000;rate;antall;innbyggere;2013-2017
2017;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;156.6;498;324463;rate;antall;innbyggere;2013-2017
2014;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;216.4;658;313604;rate;antall;innbyggere;2013-2017
2016;6;1;Skulderkirurgi (Acromion);St. Olavs;1;Dagkirurgi;143.2;448;320932;rate;antall;innbyggere;2013-2017
2016;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;195;526;264248;rate;antall;innbyggere;2013-2017
2017;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;172.7;471;264817;rate;antall;innbyggere;2013-2017
2013;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;304.5;801;259484;rate;antall;innbyggere;2013-2017
2014;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;268.6;713;261681;rate;antall;innbyggere;2013-2017
2015;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;190.2;512;263254;rate;antall;innbyggere;2013-2017
2016;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;195;526;264248;rate;antall;innbyggere;2013-2017
2017;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;172.7;471;264817;rate;antall;innbyggere;2013-2017
2013;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;304.5;801;259484;rate;antall;innbyggere;2013-2017
2014;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;268.6;713;261681;rate;antall;innbyggere;2013-2017
2015;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;190.2;512;263254;rate;antall;innbyggere;2013-2017
2016;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;195;526;264248;rate;antall;innbyggere;2013-2017
2017;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;172.7;471;264817;rate;antall;innbyggere;2013-2017
2013;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;304.5;801;259484;rate;antall;innbyggere;2013-2017
2014;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;268.6;713;261681;rate;antall;innbyggere;2013-2017
2015;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;190.2;512;263254;rate;antall;innbyggere;2013-2017
2016;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;195;526;264248;rate;antall;innbyggere;2013-2017
2017;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;172.7;471;264817;rate;antall;innbyggere;2013-2017
2013;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;304.5;801;259484;rate;antall;innbyggere;2013-2017
2014;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;268.6;713;261681;rate;antall;innbyggere;2013-2017
2015;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;190.2;512;263254;rate;antall;innbyggere;2013-2017
2016;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;195;526;264248;rate;antall;innbyggere;2013-2017
2017;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;172.7;471;264817;rate;antall;innbyggere;2013-2017
2013;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;304.5;801;259484;rate;antall;innbyggere;2013-2017
2014;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;268.6;713;261681;rate;antall;innbyggere;2013-2017
2015;7;1;Skulderkirurgi (Acromion);Møre og Romsdal;1;Dagkirurgi;190.2;512;263254;rate;antall;innbyggere;2013-2017
2016;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;140.1;162;110266;rate;antall;innbyggere;2013-2017
2017;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;123.6;144;110230;rate;antall;innbyggere;2013-2017
2014;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;190.5;215;109170;rate;antall;innbyggere;2013-2017
2015;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;166.2;189;109530;rate;antall;innbyggere;2013-2017
2013;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;280;315;108965;rate;antall;innbyggere;2013-2017
2016;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;140.1;162;110266;rate;antall;innbyggere;2013-2017
2017;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;123.6;144;110230;rate;antall;innbyggere;2013-2017
2014;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;190.5;215;109170;rate;antall;innbyggere;2013-2017
2015;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;166.2;189;109530;rate;antall;innbyggere;2013-2017
2013;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;280;315;108965;rate;antall;innbyggere;2013-2017
2016;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;140.1;162;110266;rate;antall;innbyggere;2013-2017
2017;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;123.6;144;110230;rate;antall;innbyggere;2013-2017
2014;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;190.5;215;109170;rate;antall;innbyggere;2013-2017
2015;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;166.2;189;109530;rate;antall;innbyggere;2013-2017
2013;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;280;315;108965;rate;antall;innbyggere;2013-2017
2016;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;140.1;162;110266;rate;antall;innbyggere;2013-2017
2017;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;123.6;144;110230;rate;antall;innbyggere;2013-2017
2014;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;190.5;215;109170;rate;antall;innbyggere;2013-2017
2015;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;166.2;189;109530;rate;antall;innbyggere;2013-2017
2013;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;280;315;108965;rate;antall;innbyggere;2013-2017
2016;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;140.1;162;110266;rate;antall;innbyggere;2013-2017
2017;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;123.6;144;110230;rate;antall;innbyggere;2013-2017
2014;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;190.5;215;109170;rate;antall;innbyggere;2013-2017
2015;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;166.2;189;109530;rate;antall;innbyggere;2013-2017
2013;8;1;Skulderkirurgi (Acromion);Førde;1;Dagkirurgi;280;315;108965;rate;antall;innbyggere;2013-2017
2013;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;257.6;1059;434147;rate;antall;innbyggere;2013-2017
2014;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;177.5;743;439777;rate;antall;innbyggere;2013-2017
2015;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;140.7;595;444677;rate;antall;innbyggere;2013-2017
2017;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;145.4;633;450597;rate;antall;innbyggere;2013-2017
2016;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;131.6;565;447837;rate;antall;innbyggere;2013-2017
2013;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;257.6;1059;434147;rate;antall;innbyggere;2013-2017
2014;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;177.5;743;439777;rate;antall;innbyggere;2013-2017
2015;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;140.7;595;444677;rate;antall;innbyggere;2013-2017
2017;9;1;Skulderkirurgi (Acromion);Bergen;1;Dagkirurgi;145.4;633;450597;rate;antall;innbyggere;2013-2017
