area;level2;level2_en;area_en;Level1;level1_en;value;numerator;denominator;type;name_numerator;name_denominator;Period
14;3;Emergency primary healthcare;OUS;1;General practitioner service;365.76;5619;15113;Rate;Number;Inhabitants;2013-2015
15;3;Emergency primary healthcare;Innlandet;1;General practitioner service;401.77;14116;35111;Rate;Number;Inhabitants;2013-2015
16;3;Emergency primary healthcare;Vestre Viken;1;General practitioner service;487;16771;34438;Rate;Number;Inhabitants;2013-2015
17;3;Emergency primary healthcare;Vestfold;1;General practitioner service;389.48;6930;17862;Rate;Number;Inhabitants;2013-2015
18;3;Emergency primary healthcare;Telemark;1;General practitioner service;487.91;6896;14098;Rate;Number;Inhabitants;2013-2015
19;3;Emergency primary healthcare;Sørlandet;1;General practitioner service;465.01;9401;20283;Rate;Number;Inhabitants;2013-2015
20;3;Emergency primary healthcare;Inner Oslo;1;General practitioner service;335.24;4289;12527;Rate;Number;Inhabitants;2013-2015
8888;3;Emergency primary healthcare;Norway;1;General practitioner service;446.45;160471;359928;Rate;Number;Inhabitants;2013-2015
1;4;Outpatient services, all;Finnmark;2;Specialist health service;2309.1;11765;5054;Rate;Number;Inhabitants;2013-2015
2;4;Outpatient services, all;UNN;2;Specialist health service;2700.56;37126;13700;Rate;Number;Inhabitants;2013-2015
3;4;Outpatient services, all;Nordland;2;Specialist health service;2781.37;30201;10815;Rate;Number;Inhabitants;2013-2015
4;4;Outpatient services, all;Helgeland;2;Specialist health service;2892.33;19592;6721;Rate;Number;Inhabitants;2013-2015
5;4;Outpatient services, all;Nord-Trøndelag;2;Specialist health service;3153.5;35605;11219;Rate;Number;Inhabitants;2013-2015
6;4;Outpatient services, all;St. Olavs;2;Specialist health service;3091.46;63613;20548;Rate;Number;Inhabitants;2013-2015
7;4;Outpatient services, all;Møre og Romsdal;2;Specialist health service;2984.59;62068;20861;Rate;Number;Inhabitants;2013-2015
8;4;Outpatient services, all;Førde;2;Specialist health service;3010.67;28562;9515;Rate;Number;Inhabitants;2013-2015
9;4;Outpatient services, all;Bergen;2;Specialist health service;3153.72;92389;29339;Rate;Number;Inhabitants;2013-2015
10;4;Outpatient services, all;Fonna;2;Specialist health service;3185.14;42011;13192;Rate;Number;Inhabitants;2013-2015
11;4;Outpatient services, all;Stavanger;2;Specialist health service;2946.46;56261;19056;Rate;Number;Inhabitants;2013-2015
12;4;Outpatient services, all;Østfold;2;Specialist health service;2980.63;65443;21830;Rate;Number;Inhabitants;2013-2015
13;4;Outpatient services, all;Akershus;2;Specialist health service;3053.4;88435;28648;Rate;Number;Inhabitants;2013-2015
14;4;Outpatient services, all;OUS;2;Specialist health service;3983.56;59471;15113;Rate;Number;Inhabitants;2013-2015
15;4;Outpatient services, all;Innlandet;2;Specialist health service;2611.62;91960;35111;Rate;Number;Inhabitants;2013-2015
16;4;Outpatient services, all;Vestre Viken;2;Specialist health service;3254.91;112284;34438;Rate;Number;Inhabitants;2013-2015
17;4;Outpatient services, all;Vestfold;2;Specialist health service;3431.62;61469;17862;Rate;Number;Inhabitants;2013-2015
18;4;Outpatient services, all;Telemark;2;Specialist health service;3051.96;42910;14098;Rate;Number;Inhabitants;2013-2015
19;4;Outpatient services, all;Sørlandet;2;Specialist health service;3465.27;70512;20283;Rate;Number;Inhabitants;2013-2015
20;4;Outpatient services, all;Inner Oslo;2;Specialist health service;3686.25;45507;12527;Rate;Number;Inhabitants;2013-2015
8888;4;Outpatient services, all;Norway;2;Specialist health service;3100.06;1117183;359928;Rate;Number;Inhabitants;2013-2015
1;5;Admissions, all;Finnmark;2;Specialist health service;578.33;2884;5054;Rate;Number;Inhabitants;2013-2015
2;5;Admissions, all;UNN;2;Specialist health service;498.52;6757;13700;Rate;Number;Inhabitants;2013-2015
3;5;Admissions, all;Nordland;2;Specialist health service;528.72;5682;10815;Rate;Number;Inhabitants;2013-2015
4;5;Admissions, all;Helgeland;2;Specialist health service;510.16;3420;6721;Rate;Number;Inhabitants;2013-2015
5;5;Admissions, all;Nord-Trøndelag;2;Specialist health service;514.1;5774;11219;Rate;Number;Inhabitants;2013-2015
6;5;Admissions, all;St. Olavs;2;Specialist health service;480.29;9861;20548;Rate;Number;Inhabitants;2013-2015
7;5;Admissions, all;Møre og Romsdal;2;Specialist health service;495.1;10436;20861;Rate;Number;Inhabitants;2013-2015
8;5;Admissions, all;Førde;2;Specialist health service;520.69;5015;9515;Rate;Number;Inhabitants;2013-2015
9;5;Admissions, all;Bergen;2;Specialist health service;552.75;16227;29339;Rate;Number;Inhabitants;2013-2015
10;5;Admissions, all;Fonna;2;Specialist health service;568.57;7519;13192;Rate;Number;Inhabitants;2013-2015
11;5;Admissions, all;Stavanger;2;Specialist health service;486.94;9246;19056;Rate;Number;Inhabitants;2013-2015
12;5;Admissions, all;Østfold;2;Specialist health service;434.43;9390;21830;Rate;Number;Inhabitants;2013-2015
13;5;Admissions, all;Akershus;2;Specialist health service;485.55;13612;28648;Rate;Number;Inhabitants;2013-2015
14;5;Admissions, all;OUS;2;Specialist health service;509.69;7834;15113;Rate;Number;Inhabitants;2013-2015
15;5;Admissions, all;Innlandet;2;Specialist health service;478.19;16823;35111;Rate;Number;Inhabitants;2013-2015
16;5;Admissions, all;Vestre Viken;2;Specialist health service;484.09;16678;34438;Rate;Number;Inhabitants;2013-2015
17;5;Admissions, all;Vestfold;2;Specialist health service;475.87;8459;17862;Rate;Number;Inhabitants;2013-2015
18;5;Admissions, all;Telemark;2;Specialist health service;510.14;7202;14098;Rate;Number;Inhabitants;2013-2015
19;5;Admissions, all;Sørlandet;2;Specialist health service;450.2;9095;20283;Rate;Number;Inhabitants;2013-2015
20;5;Admissions, all;Inner Oslo;2;Specialist health service;522.32;6656;12527;Rate;Number;Inhabitants;2013-2015
8888;5;Admissions, all;Norway;2;Specialist health service;496.98;178571;359928;Rate;Number;Inhabitants;2013-2015
1;6;Readmissions;Finnmark;2;Specialist health service;16.34;436;2692;Rate;Number;Inhabitants;2013-2015
2;6;Readmissions;UNN;2;Specialist health service;16.05;1003;6256;Rate;Number;Inhabitants;2013-2015
3;6;Readmissions;Nordland;2;Specialist health service;17.71;931;5262;Rate;Number;Inhabitants;2013-2015
4;6;Readmissions;Helgeland;2;Specialist health service;16.55;527;3170;Rate;Number;Inhabitants;2013-2015
5;6;Readmissions;Nord-Trøndelag;2;Specialist health service;18.8;1006;5326;Rate;Number;Inhabitants;2013-2015
6;6;Readmissions;St. Olavs;2;Specialist health service;16.64;1515;9105;Rate;Number;Inhabitants;2013-2015
7;6;Readmissions;Møre og Romsdal;2;Specialist health service;17.18;1661;9649;Rate;Number;Inhabitants;2013-2015
8;6;Readmissions;Førde;2;Specialist health service;16.07;753;4666;Rate;Number;Inhabitants;2013-2015
9;6;Readmissions;Bergen;2;Specialist health service;18.16;2749;15144;Rate;Number;Inhabitants;2013-2015
10;6;Readmissions;Fonna;2;Specialist health service;17.6;1232;6998;Rate;Number;Inhabitants;2013-2015
11;6;Readmissions;Stavanger;2;Specialist health service;17.38;1488;8563;Rate;Number;Inhabitants;2013-2015
12;6;Readmissions;Østfold;2;Specialist health service;17.3;1480;8543;Rate;Number;Inhabitants;2013-2015
13;6;Readmissions;Akershus;2;Specialist health service;18.7;2337;12509;Rate;Number;Inhabitants;2013-2015
14;6;Readmissions;OUS;2;Specialist health service;18.05;1299;7223;Rate;Number;Inhabitants;2013-2015
15;6;Readmissions;Innlandet;2;Specialist health service;17.33;2678;15412;Rate;Number;Inhabitants;2013-2015
16;6;Readmissions;Vestre Viken;2;Specialist health service;17.34;2660;15313;Rate;Number;Inhabitants;2013-2015
17;6;Readmissions;Vestfold;2;Specialist health service;16.68;1295;7760;Rate;Number;Inhabitants;2013-2015
18;6;Readmissions;Telemark;2;Specialist health service;16.87;1115;6616;Rate;Number;Inhabitants;2013-2015
19;6;Readmissions;Sørlandet;2;Specialist health service;15.97;1333;8349;Rate;Number;Inhabitants;2013-2015
20;6;Readmissions;Inner Oslo;2;Specialist health service;20.39;1245;6130;Rate;Number;Inhabitants;2013-2015
8888;6;Readmissions;Norway;2;Specialist health service;17.45;28743;164687;Rate;Number;Inhabitants;2013-2015
1;7;Admissions, bed days;Finnmark;2;Specialist health service;3320.78;16563;5054;Rate;Number;Inhabitants;2013-2015
2;7;Admissions, bed days;UNN;2;Specialist health service;3029.19;41030;13700;Rate;Number;Inhabitants;2013-2015
3;7;Admissions, bed days;Nordland;2;Specialist health service;3113.34;33521;10815;Rate;Number;Inhabitants;2013-2015
4;7;Admissions, bed days;Helgeland;2;Specialist health service;3021.04;20312;6721;Rate;Number;Inhabitants;2013-2015
5;7;Admissions, bed days;Nord-Trøndelag;2;Specialist health service;2586.86;29105;11219;Rate;Number;Inhabitants;2013-2015
6;7;Admissions, bed days;St. Olavs;2;Specialist health service;2988.46;61388;20548;Rate;Number;Inhabitants;2013-2015
7;7;Admissions, bed days;Møre og Romsdal;2;Specialist health service;2872.4;60501;20861;Rate;Number;Inhabitants;2013-2015
8;7;Admissions, bed days;Førde;2;Specialist health service;2883.92;27696;9515;Rate;Number;Inhabitants;2013-2015
9;7;Admissions, bed days;Bergen;2;Specialist health service;3092.86;90767;29339;Rate;Number;Inhabitants;2013-2015
10;7;Admissions, bed days;Fonna;2;Specialist health service;3231.77;42734;13192;Rate;Number;Inhabitants;2013-2015
11;7;Admissions, bed days;Stavanger;2;Specialist health service;2924.69;55596;19056;Rate;Number;Inhabitants;2013-2015
12;7;Admissions, bed days;Østfold;2;Specialist health service;2220.29;48164;21830;Rate;Number;Inhabitants;2013-2015
13;7;Admissions, bed days;Akershus;2;Specialist health service;2739.98;77174;28648;Rate;Number;Inhabitants;2013-2015
14;7;Admissions, bed days;OUS;2;Specialist health service;3336.18;51077;15113;Rate;Number;Inhabitants;2013-2015
15;7;Admissions, bed days;Innlandet;2;Specialist health service;2341.59;82460;35111;Rate;Number;Inhabitants;2013-2015
16;7;Admissions, bed days;Vestre Viken;2;Specialist health service;2640.77;91016;34438;Rate;Number;Inhabitants;2013-2015
17;7;Admissions, bed days;Vestfold;2;Specialist health service;2478.13;44084;17862;Rate;Number;Inhabitants;2013-2015
18;7;Admissions, bed days;Telemark;2;Specialist health service;2914.31;41120;14098;Rate;Number;Inhabitants;2013-2015
19;7;Admissions, bed days;Sørlandet;2;Specialist health service;2094.02;42378;20283;Rate;Number;Inhabitants;2013-2015
20;7;Admissions, bed days;Inner Oslo;2;Specialist health service;2736.93;34527;12527;Rate;Number;Inhabitants;2013-2015
8888;7;Admissions, bed days;Norway;2;Specialist health service;2757.22;991212;359928;Rate;Number;Inhabitants;2013-2015
1;8;Myocardial infarction, admitted patients;Finnmark;3;Cardiac medicine;31.15;151;5054;Rate;Number;Inhabitants;2013-2015
2;8;Myocardial infarction, admitted patients;UNN;3;Cardiac medicine;15.91;216;13700;Rate;Number;Inhabitants;2013-2015
3;8;Myocardial infarction, admitted patients;Nordland;3;Cardiac medicine;22.47;240;10815;Rate;Number;Inhabitants;2013-2015
4;8;Myocardial infarction, admitted patients;Helgeland;3;Cardiac medicine;20.62;138;6721;Rate;Number;Inhabitants;2013-2015
5;8;Myocardial infarction, admitted patients;Nord-Trøndelag;3;Cardiac medicine;21.6;243;11219;Rate;Number;Inhabitants;2013-2015
6;8;Myocardial infarction, admitted patients;St. Olavs;3;Cardiac medicine;16.22;333;20548;Rate;Number;Inhabitants;2013-2015
7;8;Myocardial infarction, admitted patients;Møre og Romsdal;3;Cardiac medicine;22.34;477;20861;Rate;Number;Inhabitants;2013-2015
8;8;Myocardial infarction, admitted patients;Førde;3;Cardiac medicine;16.35;161;9515;Rate;Number;Inhabitants;2013-2015
9;8;Myocardial infarction, admitted patients;Bergen;3;Cardiac medicine;16.83;496;29339;Rate;Number;Inhabitants;2013-2015
10;8;Myocardial infarction, admitted patients;Fonna;3;Cardiac medicine;21.99;293;13192;Rate;Number;Inhabitants;2013-2015
11;8;Myocardial infarction, admitted patients;Stavanger;3;Cardiac medicine;22.83;433;19056;Rate;Number;Inhabitants;2013-2015
12;8;Myocardial infarction, admitted patients;Østfold;3;Cardiac medicine;20.64;444;21830;Rate;Number;Inhabitants;2013-2015
13;8;Myocardial infarction, admitted patients;Akershus;3;Cardiac medicine;17.64;489;28648;Rate;Number;Inhabitants;2013-2015
14;8;Myocardial infarction, admitted patients;OUS;3;Cardiac medicine;17.89;281;15113;Rate;Number;Inhabitants;2013-2015
15;8;Myocardial infarction, admitted patients;Innlandet;3;Cardiac medicine;18.4;647;35111;Rate;Number;Inhabitants;2013-2015
16;8;Myocardial infarction, admitted patients;Vestre Viken;3;Cardiac medicine;17.21;595;34438;Rate;Number;Inhabitants;2013-2015
17;8;Myocardial infarction, admitted patients;Vestfold;3;Cardiac medicine;13.73;243;17862;Rate;Number;Inhabitants;2013-2015
18;8;Myocardial infarction, admitted patients;Telemark;3;Cardiac medicine;20.74;295;14098;Rate;Number;Inhabitants;2013-2015
19;8;Myocardial infarction, admitted patients;Sørlandet;3;Cardiac medicine;11.6;234;20283;Rate;Number;Inhabitants;2013-2015
20;8;Myocardial infarction, admitted patients;Inner Oslo;3;Cardiac medicine;18.6;244;12527;Rate;Number;Inhabitants;2013-2015
8888;8;Myocardial infarction, admitted patients;Norway;3;Cardiac medicine;18.49;6652;359928;Rate;Number;Inhabitants;2013-2015
1;9;Coronary revascularisation, PCI and bypass;Finnmark;3;Cardiac medicine;13.78;72;5054;Rate;Number;Inhabitants;2013-2015
2;9;Coronary revascularisation, PCI and bypass;UNN;3;Cardiac medicine;10.68;149;13700;Rate;Number;Inhabitants;2013-2015
3;9;Coronary revascularisation, PCI and bypass;Nordland;3;Cardiac medicine;9.49;104;10815;Rate;Number;Inhabitants;2013-2015
4;9;Coronary revascularisation, PCI and bypass;Helgeland;3;Cardiac medicine;10.32;72;6721;Rate;Number;Inhabitants;2013-2015
5;9;Coronary revascularisation, PCI and bypass;Nord-Trøndelag;3;Cardiac medicine;7.08;82;11219;Rate;Number;Inhabitants;2013-2015
6;9;Coronary revascularisation, PCI and bypass;St. Olavs;3;Cardiac medicine;8.63;179;20548;Rate;Number;Inhabitants;2013-2015
7;9;Coronary revascularisation, PCI and bypass;Møre og Romsdal;3;Cardiac medicine;6.55;135;20861;Rate;Number;Inhabitants;2013-2015
8;9;Coronary revascularisation, PCI and bypass;Førde;3;Cardiac medicine;7.87;75;9515;Rate;Number;Inhabitants;2013-2015
9;9;Coronary revascularisation, PCI and bypass;Bergen;3;Cardiac medicine;9.82;287;29339;Rate;Number;Inhabitants;2013-2015
10;9;Coronary revascularisation, PCI and bypass;Fonna;3;Cardiac medicine;10.09;134;13192;Rate;Number;Inhabitants;2013-2015
11;9;Coronary revascularisation, PCI and bypass;Stavanger;3;Cardiac medicine;9.94;191;19056;Rate;Number;Inhabitants;2013-2015
12;9;Coronary revascularisation, PCI and bypass;Østfold;3;Cardiac medicine;9.85;218;21830;Rate;Number;Inhabitants;2013-2015
13;9;Coronary revascularisation, PCI and bypass;Akershus;3;Cardiac medicine;9.55;281;28648;Rate;Number;Inhabitants;2013-2015
14;9;Coronary revascularisation, PCI and bypass;OUS;3;Cardiac medicine;7.71;112;15113;Rate;Number;Inhabitants;2013-2015
15;9;Coronary revascularisation, PCI and bypass;Innlandet;3;Cardiac medicine;9.24;328;35111;Rate;Number;Inhabitants;2013-2015
16;9;Coronary revascularisation, PCI and bypass;Vestre Viken;3;Cardiac medicine;9.4;325;34438;Rate;Number;Inhabitants;2013-2015
17;9;Coronary revascularisation, PCI and bypass;Vestfold;3;Cardiac medicine;8.52;153;17862;Rate;Number;Inhabitants;2013-2015
18;9;Coronary revascularisation, PCI and bypass;Telemark;3;Cardiac medicine;12.43;174;14098;Rate;Number;Inhabitants;2013-2015
19;9;Coronary revascularisation, PCI and bypass;Sørlandet;3;Cardiac medicine;12.16;249;20283;Rate;Number;Inhabitants;2013-2015
20;9;Coronary revascularisation, PCI and bypass;Inner Oslo;3;Cardiac medicine;6.83;82;12527;Rate;Number;Inhabitants;2013-2015
8888;9;Coronary revascularisation, PCI and bypass;Norway;3;Cardiac medicine;9.4;3403;359928;Rate;Number;Inhabitants;2013-2015
1;10;Heart failure, admissions;Finnmark;3;Cardiac medicine;16.83;82;5054;Rate;Number;Inhabitants;2013-2015
2;10;Heart failure, admissions;UNN;3;Cardiac medicine;19.4;261;13700;Rate;Number;Inhabitants;2013-2015
3;10;Heart failure, admissions;Nordland;3;Cardiac medicine;17.67;190;10815;Rate;Number;Inhabitants;2013-2015
4;10;Heart failure, admissions;Helgeland;3;Cardiac medicine;19.97;133;6721;Rate;Number;Inhabitants;2013-2015
5;10;Heart failure, admissions;Nord-Trøndelag;3;Cardiac medicine;20.14;226;11219;Rate;Number;Inhabitants;2013-2015
6;10;Heart failure, admissions;St. Olavs;3;Cardiac medicine;17.11;351;20548;Rate;Number;Inhabitants;2013-2015
7;10;Heart failure, admissions;Møre og Romsdal;3;Cardiac medicine;15.72;339;20861;Rate;Number;Inhabitants;2013-2015
8;10;Heart failure, admissions;Førde;3;Cardiac medicine;17.04;169;9515;Rate;Number;Inhabitants;2013-2015
9;10;Heart failure, admissions;Bergen;3;Cardiac medicine;20.45;604;29339;Rate;Number;Inhabitants;2013-2015
10;10;Heart failure, admissions;Fonna;3;Cardiac medicine;21.87;291;13192;Rate;Number;Inhabitants;2013-2015
11;10;Heart failure, admissions;Stavanger;3;Cardiac medicine;14.99;285;19056;Rate;Number;Inhabitants;2013-2015
12;10;Heart failure, admissions;Østfold;3;Cardiac medicine;16.65;356;21830;Rate;Number;Inhabitants;2013-2015
13;10;Heart failure, admissions;Akershus;3;Cardiac medicine;21.25;583;28648;Rate;Number;Inhabitants;2013-2015
14;10;Heart failure, admissions;OUS;3;Cardiac medicine;22.83;358;15113;Rate;Number;Inhabitants;2013-2015
15;10;Heart failure, admissions;Innlandet;3;Cardiac medicine;18.73;658;35111;Rate;Number;Inhabitants;2013-2015
16;10;Heart failure, admissions;Vestre Viken;3;Cardiac medicine;19.37;670;34438;Rate;Number;Inhabitants;2013-2015
17;10;Heart failure, admissions;Vestfold;3;Cardiac medicine;16.41;291;17862;Rate;Number;Inhabitants;2013-2015
18;10;Heart failure, admissions;Telemark;3;Cardiac medicine;18.02;257;14098;Rate;Number;Inhabitants;2013-2015
19;10;Heart failure, admissions;Sørlandet;3;Cardiac medicine;19.06;383;20283;Rate;Number;Inhabitants;2013-2015
20;10;Heart failure, admissions;Inner Oslo;3;Cardiac medicine;20.86;273;12527;Rate;Number;Inhabitants;2013-2015
8888;10;Heart failure, admissions;Norway;3;Cardiac medicine;18.78;6761;359928;Rate;Number;Inhabitants;2013-2015
1;11;Heart failure, outpatient services;Finnmark;3;Cardiac medicine;12.38;64;5054;Rate;Number;Inhabitants;2013-2015
2;11;Heart failure, outpatient services;UNN;3;Cardiac medicine;21.53;299;13700;Rate;Number;Inhabitants;2013-2015
3;11;Heart failure, outpatient services;Nordland;3;Cardiac medicine;26.39;286;10815;Rate;Number;Inhabitants;2013-2015
4;11;Heart failure, outpatient services;Helgeland;3;Cardiac medicine;16.68;113;6721;Rate;Number;Inhabitants;2013-2015
5;11;Heart failure, outpatient services;Nord-Trøndelag;3;Cardiac medicine;31.94;360;11219;Rate;Number;Inhabitants;2013-2015
6;11;Heart failure, outpatient services;St. Olavs;3;Cardiac medicine;15.6;323;20548;Rate;Number;Inhabitants;2013-2015
7;11;Heart failure, outpatient services;Møre og Romsdal;3;Cardiac medicine;16.94;356;20861;Rate;Number;Inhabitants;2013-2015
8;11;Heart failure, outpatient services;Førde;3;Cardiac medicine;8.61;83;9515;Rate;Number;Inhabitants;2013-2015
9;11;Heart failure, outpatient services;Bergen;3;Cardiac medicine;21.46;627;29339;Rate;Number;Inhabitants;2013-2015
10;11;Heart failure, outpatient services;Fonna;3;Cardiac medicine;18.93;252;13192;Rate;Number;Inhabitants;2013-2015
11;11;Heart failure, outpatient services;Stavanger;3;Cardiac medicine;26.24;501;19056;Rate;Number;Inhabitants;2013-2015
12;11;Heart failure, outpatient services;Østfold;3;Cardiac medicine;20.37;450;21830;Rate;Number;Inhabitants;2013-2015
13;11;Heart failure, outpatient services;Akershus;3;Cardiac medicine;16.33;474;28648;Rate;Number;Inhabitants;2013-2015
14;11;Heart failure, outpatient services;OUS;3;Cardiac medicine;20.01;294;15113;Rate;Number;Inhabitants;2013-2015
15;11;Heart failure, outpatient services;Innlandet;3;Cardiac medicine;13.37;475;35111;Rate;Number;Inhabitants;2013-2015
16;11;Heart failure, outpatient services;Vestre Viken;3;Cardiac medicine;27.13;940;34438;Rate;Number;Inhabitants;2013-2015
17;11;Heart failure, outpatient services;Vestfold;3;Cardiac medicine;37.4;669;17862;Rate;Number;Inhabitants;2013-2015
18;11;Heart failure, outpatient services;Telemark;3;Cardiac medicine;30.02;422;14098;Rate;Number;Inhabitants;2013-2015
19;11;Heart failure, outpatient services;Sørlandet;3;Cardiac medicine;34.5;705;20283;Rate;Number;Inhabitants;2013-2015
20;11;Heart failure, outpatient services;Inner Oslo;3;Cardiac medicine;41.92;511;12527;Rate;Number;Inhabitants;2013-2015
8888;11;Heart failure, outpatient services;Norway;3;Cardiac medicine;22.73;8202;359928;Rate;Number;Inhabitants;2013-2015
1;12;Heart failure, readmissions;Finnmark;3;Cardiac medicine;20.22;14;70;Proportion (%);Readmissions;Primary admissions;2013-2015
