area;level2;level2_name;area_name;level1;level1_name;value;numerator;denominator;type;numerator_name;denominator_name;period
8888;3;Proportion curettages;Norway;1;Diagnosis and assessment;16.93;3388;20012;Percentage;Number endometrial biopsy and curettages;Number curettages;2015-2017
1;4;Colposcopy and/or cervical biopsy;Finnmark;1;Diagnosis and assessment;237.84;710;30108;Rate;Number;Inhabitants;2015-2017
2;4;Colposcopy and/or cervical biopsy;UNN;1;Diagnosis and assessment;214.2;1633;77413;Rate;Number;Inhabitants;2015-2017
3;4;Colposcopy and/or cervical biopsy;Nordland;1;Diagnosis and assessment;1299.3;7205;56144;Rate;Number;Inhabitants;2015-2017
4;4;Colposcopy and/or cervical biopsy;Helgeland;1;Diagnosis and assessment;236.5;723;31821;Rate;Number;Inhabitants;2015-2017
5;4;Colposcopy and/or cervical biopsy;Nord-Trøndelag;1;Diagnosis and assessment;112.75;592;54518;Rate;Number;Inhabitants;2015-2017
6;4;Colposcopy and/or cervical biopsy;St. Olavs;1;Diagnosis and assessment;156.83;2050;128837;Rate;Number;Inhabitants;2015-2017
7;4;Colposcopy and/or cervical biopsy;Møre og Romsdal;1;Diagnosis and assessment;75.27;757;104957;Rate;Number;Inhabitants;2015-2017
8;4;Colposcopy and/or cervical biopsy;Førde;1;Diagnosis and assessment;127.93;535;43540;Rate;Number;Inhabitants;2015-2017
9;4;Colposcopy and/or cervical biopsy;Bergen;1;Diagnosis and assessment;466.09;8307;178531;Rate;Number;Inhabitants;2015-2017
10;4;Colposcopy and/or cervical biopsy;Fonna;1;Diagnosis and assessment;472.85;3333;70749;Rate;Number;Inhabitants;2015-2017
11;4;Colposcopy and/or cervical biopsy;Stavanger;1;Diagnosis and assessment;406.49;5867;140197;Rate;Number;Inhabitants;2015-2017
12;4;Colposcopy and/or cervical biopsy;Østfold;1;Diagnosis and assessment;500.86;5921;119927;Rate;Number;Inhabitants;2015-2017
13;4;Colposcopy and/or cervical biopsy;Akershus;1;Diagnosis and assessment;427.57;8722;201911;Rate;Number;Inhabitants;2015-2017
14;4;Colposcopy and/or cervical biopsy;OUS;1;Diagnosis and assessment;629.77;6957;109435;Rate;Number;Inhabitants;2015-2017
15;4;Colposcopy and/or cervical biopsy;Lovisenberg;1;Diagnosis and assessment;639.69;4296;62639;Rate;Number;Inhabitants;2015-2017
16;4;Colposcopy and/or cervical biopsy;Diakonhjemmet;1;Diagnosis and assessment;667.79;3978;59811;Rate;Number;Inhabitants;2015-2017
17;4;Colposcopy and/or cervical biopsy;Innlandet;1;Diagnosis and assessment;417.36;6934;166569;Rate;Number;Inhabitants;2015-2017
18;4;Colposcopy and/or cervical biopsy;Vestre Viken;1;Diagnosis and assessment;565.07;11178;196644;Rate;Number;Inhabitants;2015-2017
19;4;Colposcopy and/or cervical biopsy;Vestfold;1;Diagnosis and assessment;1216.07;11562;95564;Rate;Number;Inhabitants;2015-2017
20;4;Colposcopy and/or cervical biopsy;Telemark;1;Diagnosis and assessment;947.65;6656;71665;Rate;Number;Inhabitants;2015-2017
21;4;Colposcopy and/or cervical biopsy;Sørlandet;1;Diagnosis and assessment;241.67;2899;120307;Rate;Number;Inhabitants;2015-2017
8888;4;Colposcopy and/or cervical biopsy;Norway;1;Diagnosis and assessment;475.26;100815;2121287;Rate;Number;Inhabitants;2015-2017
1;5;Cervical biopsy;Finnmark;1;Diagnosis and assessment;136.11;403;30108;Rate;Number;Inhabitants;2015-2017
2;5;Cervical biopsy;UNN;1;Diagnosis and assessment;161.35;1231;77413;Rate;Number;Inhabitants;2015-2017
3;5;Cervical biopsy;Nordland;1;Diagnosis and assessment;323.22;1793;56144;Rate;Number;Inhabitants;2015-2017
4;5;Cervical biopsy;Helgeland;1;Diagnosis and assessment;151.6;454;31821;Rate;Number;Inhabitants;2015-2017
5;5;Cervical biopsy;Nord-Trøndelag;1;Diagnosis and assessment;87.57;456;54518;Rate;Number;Inhabitants;2015-2017
6;5;Cervical biopsy;St. Olavs;1;Diagnosis and assessment;93.19;1212;128837;Rate;Number;Inhabitants;2015-2017
7;5;Cervical biopsy;Møre og Romsdal;1;Diagnosis and assessment;45.01;455;104957;Rate;Number;Inhabitants;2015-2017
8;5;Cervical biopsy;Førde;1;Diagnosis and assessment;94.29;394;43540;Rate;Number;Inhabitants;2015-2017
9;5;Cervical biopsy;Bergen;1;Diagnosis and assessment;84.27;1545;178531;Rate;Number;Inhabitants;2015-2017
10;5;Cervical biopsy;Fonna;1;Diagnosis and assessment;76.83;539;70749;Rate;Number;Inhabitants;2015-2017
11;5;Cervical biopsy;Stavanger;1;Diagnosis and assessment;91.5;1335;140197;Rate;Number;Inhabitants;2015-2017
12;5;Cervical biopsy;Østfold;1;Diagnosis and assessment;73.08;846;119927;Rate;Number;Inhabitants;2015-2017
13;5;Cervical biopsy;Akershus;1;Diagnosis and assessment;56.53;1155;201911;Rate;Number;Inhabitants;2015-2017
14;5;Cervical biopsy;OUS;1;Diagnosis and assessment;65.67;768;109435;Rate;Number;Inhabitants;2015-2017
15;5;Cervical biopsy;Lovisenberg;1;Diagnosis and assessment;79.07;645;62639;Rate;Number;Inhabitants;2015-2017
16;5;Cervical biopsy;Diakonhjemmet;1;Diagnosis and assessment;67.43;426;59811;Rate;Number;Inhabitants;2015-2017
17;5;Cervical biopsy;Innlandet;1;Diagnosis and assessment;63.28;992;166569;Rate;Number;Inhabitants;2015-2017
18;5;Cervical biopsy;Vestre Viken;1;Diagnosis and assessment;48.78;947;196644;Rate;Number;Inhabitants;2015-2017
19;5;Cervical biopsy;Vestfold;1;Diagnosis and assessment;84.8;789;95564;Rate;Number;Inhabitants;2015-2017
20;5;Cervical biopsy;Telemark;1;Diagnosis and assessment;61.29;421;71665;Rate;Number;Inhabitants;2015-2017
21;5;Cervical biopsy;Sørlandet;1;Diagnosis and assessment;57.72;692;120307;Rate;Number;Inhabitants;2015-2017
8888;5;Cervical biopsy;Norway;1;Diagnosis and assessment;82.49;17498;2121287;Rate;Number;Inhabitants;2015-2017
1;6;Sterilisation;Finnmark;2;Reproductive health;13.56;20;14951;Rate;Number;Inhabitants;2015-2017
2;6;Sterilisation;UNN;2;Reproductive health;11.88;44;37938;Rate;Number;Inhabitants;2015-2017
3;6;Sterilisation;Nordland;2;Reproductive health;15.27;39;26557;Rate;Number;Inhabitants;2015-2017
4;6;Sterilisation;Helgeland;2;Reproductive health;25;35;14705;Rate;Number;Inhabitants;2015-2017
5;6;Sterilisation;Nord-Trøndelag;2;Reproductive health;17.27;42;25144;Rate;Number;Inhabitants;2015-2017
6;6;Sterilisation;St. Olavs;2;Reproductive health;8.86;59;65740;Rate;Number;Inhabitants;2015-2017
7;6;Sterilisation;Møre og Romsdal;2;Reproductive health;11.91;58;49654;Rate;Number;Inhabitants;2015-2017
8;6;Sterilisation;Førde;2;Reproductive health;6.32;12;19856;Rate;Number;Inhabitants;2015-2017
9;6;Sterilisation;Bergen;2;Reproductive health;7.31;68;92671;Rate;Number;Inhabitants;2015-2017
10;6;Sterilisation;Fonna;2;Reproductive health;10.6;37;34555;Rate;Number;Inhabitants;2015-2017
11;6;Sterilisation;Stavanger;2;Reproductive health;7.95;63;76854;Rate;Number;Inhabitants;2015-2017
12;6;Sterilisation;Østfold;2;Reproductive health;12.84;71;58482;Rate;Number;Inhabitants;2015-2017
13;6;Sterilisation;Akershus;2;Reproductive health;8.79;95;109012;Rate;Number;Inhabitants;2015-2017
14;6;Sterilisation;OUS;2;Reproductive health;5.57;36;64500;Rate;Number;Inhabitants;2015-2017
15;6;Sterilisation;Lovisenberg;2;Reproductive health;4.23;15;43585;Rate;Number;Inhabitants;2015-2017
16;6;Sterilisation;Diakonhjemmet;2;Reproductive health;2.79;9;32820;Rate;Number;Inhabitants;2015-2017
17;6;Sterilisation;Innlandet;2;Reproductive health;10.55;74;76211;Rate;Number;Inhabitants;2015-2017
18;6;Sterilisation;Vestre Viken;2;Reproductive health;9.16;90;100152;Rate;Number;Inhabitants;2015-2017
19;6;Sterilisation;Vestfold;2;Reproductive health;10.63;47;46293;Rate;Number;Inhabitants;2015-2017
20;6;Sterilisation;Telemark;2;Reproductive health;12.85;41;33561;Rate;Number;Inhabitants;2015-2017
21;6;Sterilisation;Sørlandet;2;Reproductive health;15.22;89;59607;Rate;Number;Inhabitants;2015-2017
8888;6;Sterilisation;Norway;2;Reproductive health;9.65;1045;1082848;Rate;Number;Inhabitants;2015-2017
1;7;Surgical treatment in connection with spontaneous abortions;Finnmark;2;Reproductive health;9.07;17;19353;Rate;Number;Inhabitants;2015-2017
2;7;Surgical treatment in connection with spontaneous abortions;UNN;2;Reproductive health;5.85;28;48925;Rate;Number;Inhabitants;2015-2017
3;7;Surgical treatment in connection with spontaneous abortions;Nordland;2;Reproductive health;6.9;23;34418;Rate;Number;Inhabitants;2015-2017
4;7;Surgical treatment in connection with spontaneous abortions;Helgeland;2;Reproductive health;11.28;21;19116;Rate;Number;Inhabitants;2015-2017
5;7;Surgical treatment in connection with spontaneous abortions;Nord-Trøndelag;2;Reproductive health;10.96;35;33027;Rate;Number;Inhabitants;2015-2017
6;7;Surgical treatment in connection with spontaneous abortions;St. Olavs;2;Reproductive health;5.05;43;85176;Rate;Number;Inhabitants;2015-2017
7;7;Surgical treatment in connection with spontaneous abortions;Møre og Romsdal;2;Reproductive health;8.14;52;64205;Rate;Number;Inhabitants;2015-2017
8;7;Surgical treatment in connection with spontaneous abortions;Førde;2;Reproductive health;16.07;41;26244;Rate;Number;Inhabitants;2015-2017
9;7;Surgical treatment in connection with spontaneous abortions;Bergen;2;Reproductive health;9.03;110;119288;Rate;Number;Inhabitants;2015-2017
10;7;Surgical treatment in connection with spontaneous abortions;Fonna;2;Reproductive health;5.4;24;44835;Rate;Number;Inhabitants;2015-2017
11;7;Surgical treatment in connection with spontaneous abortions;Stavanger;2;Reproductive health;3.13;31;97665;Rate;Number;Inhabitants;2015-2017
12;7;Surgical treatment in connection with spontaneous abortions;Østfold;2;Reproductive health;6.97;50;73882;Rate;Number;Inhabitants;2015-2017
13;7;Surgical treatment in connection with spontaneous abortions;Akershus;2;Reproductive health;5.28;71;135661;Rate;Number;Inhabitants;2015-2017
14;7;Surgical treatment in connection with spontaneous abortions;OUS;2;Reproductive health;5.82;47;78585;Rate;Number;Inhabitants;2015-2017
15;7;Surgical treatment in connection with spontaneous abortions;Lovisenberg;2;Reproductive health;7.03;37;52573;Rate;Number;Inhabitants;2015-2017
16;7;Surgical treatment in connection with spontaneous abortions;Diakonhjemmet;2;Reproductive health;4.61;19;40362;Rate;Number;Inhabitants;2015-2017
17;7;Surgical treatment in connection with spontaneous abortions;Innlandet;2;Reproductive health;4.58;43;97639;Rate;Number;Inhabitants;2015-2017
18;7;Surgical treatment in connection with spontaneous abortions;Vestre Viken;2;Reproductive health;6.2;76;125306;Rate;Number;Inhabitants;2015-2017
19;7;Surgical treatment in connection with spontaneous abortions;Vestfold;2;Reproductive health;6.81;38;58584;Rate;Number;Inhabitants;2015-2017
20;7;Surgical treatment in connection with spontaneous abortions;Telemark;2;Reproductive health;7.87;32;42927;Rate;Number;Inhabitants;2015-2017
21;7;Surgical treatment in connection with spontaneous abortions;Sørlandet;2;Reproductive health;5.71;44;77341;Rate;Number;Inhabitants;2015-2017
8888;7;Surgical treatment in connection with spontaneous abortions;Norway;2;Reproductive health;6.43;884;1375110;Rate;Number;Inhabitants;2015-2017
1;8;Percentage of abortions on request performed using the surgical method;Finnmark;2;Reproductive health;15.49;35;228;Percentage;Number surgical abortions;Number abortions;2015-2017
2;8;Percentage of abortions on request performed using the surgical method;UNN;2;Reproductive health;4.44;23;528;Percentage;Number surgical abortions;Number abortions;2015-2017
3;8;Percentage of abortions on request performed using the surgical method;Nordland;2;Reproductive health;10.22;36;353;Percentage;Number surgical abortions;Number abortions;2015-2017
4;8;Percentage of abortions on request performed using the surgical method;Helgeland;2;Reproductive health;14.32;28;199;Percentage;Number surgical abortions;Number abortions;2015-2017
5;8;Percentage of abortions on request performed using the surgical method;Nord-Trøndelag;2;Reproductive health;12.48;34;278;Percentage;Number surgical abortions;Number abortions;2015-2017
6;8;Percentage of abortions on request performed using the surgical method;St. Olavs;2;Reproductive health;2.92;21;714;Percentage;Number surgical abortions;Number abortions;2015-2017
7;8;Percentage of abortions on request performed using the surgical method;Møre og Romsdal;2;Reproductive health;8.65;39;456;Percentage;Number surgical abortions;Number abortions;2015-2017
8;8;Percentage of abortions on request performed using the surgical method;Førde;2;Reproductive health;13.82;27;194;Percentage;Number surgical abortions;Number abortions;2015-2017
9;8;Percentage of abortions on request performed using the surgical method;Bergen;2;Reproductive health;3.92;39;1002;Percentage;Number surgical abortions;Number abortions;2015-2017
10;8;Percentage of abortions on request performed using the surgical method;Fonna;2;Reproductive health;5.05;15;304;Percentage;Number surgical abortions;Number abortions;2015-2017
11;8;Percentage of abortions on request performed using the surgical method;Stavanger;2;Reproductive health;1.87;14;730;Percentage;Number surgical abortions;Number abortions;2015-2017
12;8;Percentage of abortions on request performed using the surgical method;Østfold;2;Reproductive health;31.39;212;677;Percentage;Number surgical abortions;Number abortions;2015-2017
13;8;Percentage of abortions on request performed using the surgical method;Akershus;2;Reproductive health;18.18;252;1382;Percentage;Number surgical abortions;Number abortions;2015-2017
14;8;Percentage of abortions on request performed using the surgical method;OUS;2;Reproductive health;20.22;172;857;Percentage;Number surgical abortions;Number abortions;2015-2017
15;8;Percentage of abortions on request performed using the surgical method;Lovisenberg;2;Reproductive health;22.48;191;857;Percentage;Number surgical abortions;Number abortions;2015-2017
16;8;Percentage of abortions on request performed using the surgical method;Diakonhjemmet;2;Reproductive health;22.35;105;471;Percentage;Number surgical abortions;Number abortions;2015-2017
17;8;Percentage of abortions on request performed using the surgical method;Innlandet;2;Reproductive health;9.77;84;855;Percentage;Number surgical abortions;Number abortions;2015-2017
18;8;Percentage of abortions on request performed using the surgical method;Vestre Viken;2;Reproductive health;5.63;58;1022;Percentage;Number surgical abortions;Number abortions;2015-2017
19;8;Percentage of abortions on request performed using the surgical method;Vestfold;2;Reproductive health;17.81;93;518;Percentage;Number surgical abortions;Number abortions;2015-2017
20;8;Percentage of abortions on request performed using the surgical method;Telemark;2;Reproductive health;13.89;52;378;Percentage;Number surgical abortions;Number abortions;2015-2017
21;8;Percentage of abortions on request performed using the surgical method;Sørlandet;2;Reproductive health;8.16;44;546;Percentage;Number surgical abortions;Number abortions;2015-2017
8888;8;Percentage of abortions on request performed using the surgical method;Norway;2;Reproductive health;12.55;1575;12550;Percentage;Number surgical abortions;Number abortions;2015-2017
1;9;In vitro fertilisation;Finnmark;2;Reproductive health;20.41;38;19353;Rate;Number;Inhabitants;2015-2017
2;9;In vitro fertilisation;UNN;2;Reproductive health;21.44;103;48925;Rate;Number;Inhabitants;2015-2017
3;9;In vitro fertilisation;Nordland;2;Reproductive health;17.68;60;34418;Rate;Number;Inhabitants;2015-2017
4;9;In vitro fertilisation;Helgeland;2;Reproductive health;21.91;39;19116;Rate;Number;Inhabitants;2015-2017
5;9;In vitro fertilisation;Nord-Trøndelag;2;Reproductive health;23.33;75;33027;Rate;Number;Inhabitants;2015-2017
6;9;In vitro fertilisation;St. Olavs;2;Reproductive health;29.96;257;85176;Rate;Number;Inhabitants;2015-2017
7;9;In vitro fertilisation;Møre og Romsdal;2;Reproductive health;28;178;64205;Rate;Number;Inhabitants;2015-2017
8;9;In vitro fertilisation;Førde;2;Reproductive health;20.45;53;26244;Rate;Number;Inhabitants;2015-2017
9;9;In vitro fertilisation;Bergen;2;Reproductive health;26.16;315;119288;Rate;Number;Inhabitants;2015-2017
10;9;In vitro fertilisation;Fonna;2;Reproductive health;29.94;134;44835;Rate;Number;Inhabitants;2015-2017
11;9;In vitro fertilisation;Stavanger;2;Reproductive health;32.66;327;97665;Rate;Number;Inhabitants;2015-2017
12;9;In vitro fertilisation;Østfold;2;Reproductive health;28.03;200;73882;Rate;Number;Inhabitants;2015-2017
13;9;In vitro fertilisation;Akershus;2;Reproductive health;25.54;346;135661;Rate;Number;Inhabitants;2015-2017
14;9;In vitro fertilisation;OUS;2;Reproductive health;33.93;276;78585;Rate;Number;Inhabitants;2015-2017
15;9;In vitro fertilisation;Lovisenberg;2;Reproductive health;43.71;221;52573;Rate;Number;Inhabitants;2015-2017
16;9;In vitro fertilisation;Diakonhjemmet;2;Reproductive health;32.75;133;40362;Rate;Number;Inhabitants;2015-2017
17;9;In vitro fertilisation;Innlandet;2;Reproductive health;22.52;208;97639;Rate;Number;Inhabitants;2015-2017
18;9;In vitro fertilisation;Vestre Viken;2;Reproductive health;26.56;330;125306;Rate;Number;Inhabitants;2015-2017
19;9;In vitro fertilisation;Vestfold;2;Reproductive health;28.76;162;58584;Rate;Number;Inhabitants;2015-2017
20;9;In vitro fertilisation;Telemark;2;Reproductive health;30.16;123;42927;Rate;Number;Inhabitants;2015-2017
21;9;In vitro fertilisation;Sørlandet;2;Reproductive health;27.91;214;77341;Rate;Number;Inhabitants;2015-2017
8888;9;In vitro fertilisation;Norway;2;Reproductive health;27.58;3793;1375110;Rate;Number;Inhabitants;2015-2017
1;10;Endometriosis;Finnmark;3;Surgical treatment of gynaecological conditions;7.83;15;19353;Rate;Number;Inhabitants;2015-2017
2;10;Endometriosis;UNN;3;Surgical treatment of gynaecological conditions;5.49;27;48925;Rate;Number;Inhabitants;2015-2017
3;10;Endometriosis;Nordland;3;Surgical treatment of gynaecological conditions;6.46;22;34418;Rate;Number;Inhabitants;2015-2017
4;10;Endometriosis;Helgeland;3;Surgical treatment of gynaecological conditions;13.62;26;19116;Rate;Number;Inhabitants;2015-2017
5;10;Endometriosis;Nord-Trøndelag;3;Surgical treatment of gynaecological conditions;3.54;12;33027;Rate;Number;Inhabitants;2015-2017
6;10;Endometriosis;St. Olavs;3;Surgical treatment of gynaecological conditions;5.11;43;85176;Rate;Number;Inhabitants;2015-2017
7;10;Endometriosis;Møre og Romsdal;3;Surgical treatment of gynaecological conditions;6.06;39;64205;Rate;Number;Inhabitants;2015-2017
8;10;Endometriosis;Førde;3;Surgical treatment of gynaecological conditions;4.07;11;26244;Rate;Number;Inhabitants;2015-2017
9;10;Endometriosis;Bergen;3;Surgical treatment of gynaecological conditions;6.86;81;119288;Rate;Number;Inhabitants;2015-2017
10;10;Endometriosis;Fonna;3;Surgical treatment of gynaecological conditions;5.35;24;44835;Rate;Number;Inhabitants;2015-2017
11;10;Endometriosis;Stavanger;3;Surgical treatment of gynaecological conditions;8.02;78;97665;Rate;Number;Inhabitants;2015-2017
12;10;Endometriosis;Østfold;3;Surgical treatment of gynaecological conditions;10.35;75;73882;Rate;Number;Inhabitants;2015-2017
13;10;Endometriosis;Akershus;3;Surgical treatment of gynaecological conditions;8.73;118;135661;Rate;Number;Inhabitants;2015-2017
14;10;Endometriosis;OUS;3;Surgical treatment of gynaecological conditions;11.91;97;78585;Rate;Number;Inhabitants;2015-2017
15;10;Endometriosis;Lovisenberg;3;Surgical treatment of gynaecological conditions;14.61;79;52573;Rate;Number;Inhabitants;2015-2017
