area;level2;level2_name;area_name;level1;level1_name;value;numerator;denominator;type;numerator_name;denominator_name;period
8888;1;Proportion 39 years or older;Norway;1;Population;5.57;3206;57572;Proportion;Number;Births;2015-2017
1;2;Age when giving birth for the first time;Finnmark;1;Population;27.37;305;749;Snittalder;Number;All births;2015-2017
2;2;Age when giving birth for the first time;UNN;1;Population;28;818;1953;Snittalder;Number;All births;2015-2017
3;2;Age when giving birth for the first time;Nordland;1;Population;27.5;541;1373;Snittalder;Number;All births;2015-2017
4;2;Age when giving birth for the first time;Helgeland;1;Population;26.73;290;732;Snittalder;Number;All births;2015-2017
5;2;Age when giving birth for the first time;Nord-Trøndelag;1;Population;26.83;512;1372;Snittalder;Number;All births;2015-2017
6;2;Age when giving birth for the first time;St. Olavs;1;Population;28.7;1564;3597;Snittalder;Number;All births;2015-2017
7;2;Age when giving birth for the first time;Møre og Romsdal;1;Population;28.1;1049;2711;Snittalder;Number;All births;2015-2017
8;2;Age when giving birth for the first time;Førde;1;Population;28;389;1087;Snittalder;Number;All births;2015-2017
9;2;Age when giving birth for the first time;Bergen;1;Population;28.9;2296;5443;Snittalder;Number;All births;2015-2017
10;2;Age when giving birth for the first time;Fonna;1;Population;27.4;739;1977;Snittalder;Number;All births;2015-2017
11;2;Age when giving birth for the first time;Stavanger;1;Population;28.7;1917;4781;Snittalder;Number;All births;2015-2017
12;2;Age when giving birth for the first time;Østfold;1;Population;28.07;1176;2832;Snittalder;Number;All births;2015-2017
13;2;Age when giving birth for the first time;Akershus;1;Population;29.4;2176;5381;Snittalder;Number;All births;2015-2017
14;2;Age when giving birth for the first time;OUS;1;Population;30.87;2008;4041;Snittalder;Number;All births;2015-2017
15;2;Age when giving birth for the first time;Lovisenberg;1;Population;31.53;1594;2629;Snittalder;Number;All births;2015-2017
16;2;Age when giving birth for the first time;Diakonhjemmet;1;Population;31.87;905;1716;Snittalder;Number;All births;2015-2017
17;2;Age when giving birth for the first time;Innlandet;1;Population;28.1;1435;3477;Snittalder;Number;All births;2015-2017
18;2;Age when giving birth for the first time;Vestre Viken;1;Population;29.6;1958;4803;Snittalder;Number;All births;2015-2017
19;2;Age when giving birth for the first time;Vestfold;1;Population;28.57;889;2178;Snittalder;Number;All births;2015-2017
20;2;Age when giving birth for the first time;Telemark;1;Population;27.9;643;1553;Snittalder;Number;All births;2015-2017
21;2;Age when giving birth for the first time;Sørlandet;1;Population;27.93;1246;3188;Snittalder;Number;All births;2015-2017
8888;2;Age when giving birth for the first time;Norway;1;Population;28.57;24452;57572;Snittalder;Number;All births;2015-2017
1;3;Overweight mothers, primiparous;Finnmark;1;Population;13.16;38;283;Rate;Number;Births;2015-2017
2;3;Overweight mothers, primiparous;UNN;1;Population;11.39;75;647;Rate;Number;Births;2015-2017
3;3;Overweight mothers, primiparous;Nordland;1;Population;13.23;56;413;Rate;Number;Births;2015-2017
4;3;Overweight mothers, primiparous;Helgeland;1;Population;16.15;32;192;Rate;Number;Births;2015-2017
5;3;Overweight mothers, primiparous;Nord-Trøndelag;1;Population;14.08;38;258;Rate;Number;Births;2015-2017
6;3;Overweight mothers, primiparous;St. Olavs;1;Population;11.57;85;731;Rate;Number;Births;2015-2017
7;3;Overweight mothers, primiparous;Møre og Romsdal;1;Population;10.47;93;873;Rate;Number;Births;2015-2017
8;3;Overweight mothers, primiparous;Førde;1;Population;10.87;35;319;Rate;Number;Births;2015-2017
9;3;Overweight mothers, primiparous;Bergen;1;Population;9.48;186;1960;Rate;Number;Births;2015-2017
10;3;Overweight mothers, primiparous;Fonna;1;Population;12.1;79;638;Rate;Number;Births;2015-2017
11;3;Overweight mothers, primiparous;Stavanger;1;Population;9.13;174;1900;Rate;Number;Births;2015-2017
12;3;Overweight mothers, primiparous;Østfold;1;Population;13.36;140;1033;Rate;Number;Births;2015-2017
13;3;Overweight mothers, primiparous;Akershus;1;Population;10.76;204;1909;Rate;Number;Births;2015-2017
14;3;Overweight mothers, primiparous;OUS;1;Population;5.12;78;1570;Rate;Number;Births;2015-2017
15;3;Overweight mothers, primiparous;Lovisenberg;1;Population;5.14;63;1281;Rate;Number;Births;2015-2017
16;3;Overweight mothers, primiparous;Diakonhjemmet;1;Population;3.12;21;707;Rate;Number;Births;2015-2017
17;3;Overweight mothers, primiparous;Innlandet;1;Population;15.61;194;1223;Rate;Number;Births;2015-2017
18;3;Overweight mothers, primiparous;Vestre Viken;1;Population;10.48;180;1740;Rate;Number;Births;2015-2017
19;3;Overweight mothers, primiparous;Vestfold;1;Population;12.39;101;810;Rate;Number;Births;2015-2017
20;3;Overweight mothers, primiparous;Telemark;1;Population;13.7;77;555;Rate;Number;Births;2015-2017
21;3;Overweight mothers, primiparous;Sørlandet;1;Population;10.66;125;1150;Rate;Number;Births;2015-2017
8888;3;Overweight mothers, primiparous;Norway;1;Population;10.28;2076;20192;Rate;Number;Births;2015-2017
1;4;Overweight mothers, multiparous;Finnmark;1;Population;14.27;59;408;Rate;Number;Births;2015-2017
2;4;Overweight mothers, multiparous;UNN;1;Population;16.45;141;849;Rate;Number;Births;2015-2017
3;4;Overweight mothers, multiparous;Nordland;1;Population;16.85;102;599;Rate;Number;Births;2015-2017
4;4;Overweight mothers, multiparous;Helgeland;1;Population;18.11;51;274;Rate;Number;Births;2015-2017
5;4;Overweight mothers, multiparous;Nord-Trøndelag;1;Population;19.95;81;402;Rate;Number;Births;2015-2017
6;4;Overweight mothers, multiparous;St. Olavs;1;Population;16.52;125;756;Rate;Number;Births;2015-2017
7;4;Overweight mothers, multiparous;Møre og Romsdal;1;Population;13.6;179;1315;Rate;Number;Births;2015-2017
8;4;Overweight mothers, multiparous;Førde;1;Population;14.58;79;540;Rate;Number;Births;2015-2017
9;4;Overweight mothers, multiparous;Bergen;1;Population;13.05;324;2483;Rate;Number;Births;2015-2017
10;4;Overweight mothers, multiparous;Fonna;1;Population;13.36;141;1051;Rate;Number;Births;2015-2017
11;4;Overweight mothers, multiparous;Stavanger;1;Population;10.64;296;2784;Rate;Number;Births;2015-2017
12;4;Overweight mothers, multiparous;Østfold;1;Population;15.05;217;1438;Rate;Number;Births;2015-2017
13;4;Overweight mothers, multiparous;Akershus;1;Population;12.54;337;2699;Rate;Number;Births;2015-2017
14;4;Overweight mothers, multiparous;OUS;1;Population;8.83;131;1503;Rate;Number;Births;2015-2017
15;4;Overweight mothers, multiparous;Lovisenberg;1;Population;8.74;65;755;Rate;Number;Births;2015-2017
16;4;Overweight mothers, multiparous;Diakonhjemmet;1;Population;2.86;17;591;Rate;Number;Births;2015-2017
17;4;Overweight mothers, multiparous;Innlandet;1;Population;18.19;309;1691;Rate;Number;Births;2015-2017
18;4;Overweight mothers, multiparous;Vestre Viken;1;Population;12.02;285;2391;Rate;Number;Births;2015-2017
19;4;Overweight mothers, multiparous;Vestfold;1;Population;14.25;165;1154;Rate;Number;Births;2015-2017
20;4;Overweight mothers, multiparous;Telemark;1;Population;16.19;123;756;Rate;Number;Births;2015-2017
21;4;Overweight mothers, multiparous;Sørlandet;1;Population;11.7;207;1766;Rate;Number;Births;2015-2017
8888;4;Overweight mothers, multiparous;Norway;1;Population;13.11;3435;26208;Rate;Number;Births;2015-2017
1;5;Primiparous women, Robson group 1;Finnmark;1;Population;68.25;211;305;Proportion;Number;Births;2015-2017
2;5;Primiparous women, Robson group 1;UNN;1;Population;67.72;560;818;Proportion;Number;Births;2015-2017
3;5;Primiparous women, Robson group 1;Nordland;1;Population;69.93;383;541;Proportion;Number;Births;2015-2017
4;5;Primiparous women, Robson group 1;Helgeland;1;Population;65.6;195;290;Proportion;Number;Births;2015-2017
5;5;Primiparous women, Robson group 1;Nord-Trøndelag;1;Population;60.86;320;512;Proportion;Number;Births;2015-2017
6;5;Primiparous women, Robson group 1;St. Olavs;1;Population;66.16;1039;1564;Proportion;Number;Births;2015-2017
7;5;Primiparous women, Robson group 1;Møre og Romsdal;1;Population;63.12;670;1049;Proportion;Number;Births;2015-2017
8;5;Primiparous women, Robson group 1;Førde;1;Population;67.38;265;389;Proportion;Number;Births;2015-2017
9;5;Primiparous women, Robson group 1;Bergen;1;Population;68.17;1568;2296;Proportion;Number;Births;2015-2017
10;5;Primiparous women, Robson group 1;Fonna;1;Population;63.7;481;739;Proportion;Number;Births;2015-2017
11;5;Primiparous women, Robson group 1;Stavanger;1;Population;62.1;1196;1917;Proportion;Number;Births;2015-2017
12;5;Primiparous women, Robson group 1;Østfold;1;Population;61.74;736;1176;Proportion;Number;Births;2015-2017
13;5;Primiparous women, Robson group 1;Akershus;1;Population;63.77;1383;2176;Proportion;Number;Births;2015-2017
14;5;Primiparous women, Robson group 1;OUS;1;Population;65.81;1290;2008;Proportion;Number;Births;2015-2017
15;5;Primiparous women, Robson group 1;Lovisenberg;1;Population;67.26;1039;1594;Proportion;Number;Births;2015-2017
16;5;Primiparous women, Robson group 1;Diakonhjemmet;1;Population;66.74;581;905;Proportion;Number;Births;2015-2017
17;5;Primiparous women, Robson group 1;Innlandet;1;Population;62.58;910;1435;Proportion;Number;Births;2015-2017
18;5;Primiparous women, Robson group 1;Vestre Viken;1;Population;62.49;1215;1958;Proportion;Number;Births;2015-2017
19;5;Primiparous women, Robson group 1;Vestfold;1;Population;66.46;593;889;Proportion;Number;Births;2015-2017
20;5;Primiparous women, Robson group 1;Telemark;1;Population;62.7;409;643;Proportion;Number;Births;2015-2017
21;5;Primiparous women, Robson group 1;Sørlandet;1;Population;63.25;800;1246;Proportion;Number;Births;2015-2017
8888;5;Primiparous women, Robson group 1;Norway;1;Population;64.8;15846;24452;Proportion;Number;Births;2015-2017
1;6;Primiparous women, Robson group 3;Finnmark;1;Population;58.17;261;444;Proportion;Number;Births;2015-2017
2;6;Primiparous women, Robson group 3;UNN;1;Population;61.2;698;1135;Proportion;Number;Births;2015-2017
3;6;Primiparous women, Robson group 3;Nordland;1;Population;61.29;516;832;Proportion;Number;Births;2015-2017
4;6;Primiparous women, Robson group 3;Helgeland;1;Population;63.68;288;442;Proportion;Number;Births;2015-2017
5;6;Primiparous women, Robson group 3;Nord-Trøndelag;1;Population;55.18;487;861;Proportion;Number;Births;2015-2017
6;6;Primiparous women, Robson group 3;St. Olavs;1;Population;61.86;1264;2033;Proportion;Number;Births;2015-2017
7;6;Primiparous women, Robson group 3;Møre og Romsdal;1;Population;59.41;996;1662;Proportion;Number;Births;2015-2017
8;6;Primiparous women, Robson group 3;Førde;1;Population;59.17;415;698;Proportion;Number;Births;2015-2017
9;6;Primiparous women, Robson group 3;Bergen;1;Population;64.71;2037;3146;Proportion;Number;Births;2015-2017
10;6;Primiparous women, Robson group 3;Fonna;1;Population;60.21;758;1237;Proportion;Number;Births;2015-2017
11;6;Primiparous women, Robson group 3;Stavanger;1;Population;60.55;1745;2864;Proportion;Number;Births;2015-2017
12;6;Primiparous women, Robson group 3;Østfold;1;Population;56.88;949;1656;Proportion;Number;Births;2015-2017
13;6;Primiparous women, Robson group 3;Akershus;1;Population;60.51;1921;3205;Proportion;Number;Births;2015-2017
14;6;Primiparous women, Robson group 3;OUS;1;Population;61.13;1209;2033;Proportion;Number;Births;2015-2017
15;6;Primiparous women, Robson group 3;Lovisenberg;1;Population;63.67;641;1035;Proportion;Number;Births;2015-2017
16;6;Primiparous women, Robson group 3;Diakonhjemmet;1;Population;61.59;477;810;Proportion;Number;Births;2015-2017
17;6;Primiparous women, Robson group 3;Innlandet;1;Population;57.19;1180;2043;Proportion;Number;Births;2015-2017
18;6;Primiparous women, Robson group 3;Vestre Viken;1;Population;59.17;1658;2845;Proportion;Number;Births;2015-2017
19;6;Primiparous women, Robson group 3;Vestfold;1;Population;60.87;790;1289;Proportion;Number;Births;2015-2017
20;6;Primiparous women, Robson group 3;Telemark;1;Population;58.16;538;910;Proportion;Number;Births;2015-2017
21;6;Primiparous women, Robson group 3;Sørlandet;1;Population;60.56;1188;1942;Proportion;Number;Births;2015-2017
8888;6;Primiparous women, Robson group 3;Norway;1;Population;60.43;20015;33120;Proportion;Number;Births;2015-2017
1;7;Contacts with midwives;Finnmark;2;Antenatal care;5.56;4384;769;Rate;Number;Births;2015-2017
2;7;Contacts with midwives;UNN;2;Antenatal care;4.39;8669;1949;Rate;Number;Births;2015-2017
3;7;Contacts with midwives;Nordland;2;Antenatal care;5.32;7271;1340;Rate;Number;Births;2015-2017
4;7;Contacts with midwives;Helgeland;2;Antenatal care;5.23;3933;723;Rate;Number;Births;2015-2017
5;7;Contacts with midwives;Nord-Trøndelag;2;Antenatal care;5.33;7268;1321;Rate;Number;Births;2015-2017
6;7;Contacts with midwives;St. Olavs;2;Antenatal care;3.69;13333;3585;Rate;Number;Births;2015-2017
7;7;Contacts with midwives;Møre og Romsdal;2;Antenatal care;5.22;14221;2696;Rate;Number;Births;2015-2017
8;7;Contacts with midwives;Førde;2;Antenatal care;5.84;6172;1050;Rate;Number;Births;2015-2017
9;7;Contacts with midwives;Bergen;2;Antenatal care;4.59;24703;5381;Rate;Number;Births;2015-2017
10;7;Contacts with midwives;Fonna;2;Antenatal care;4.58;9133;1943;Rate;Number;Births;2015-2017
11;7;Contacts with midwives;Stavanger;2;Antenatal care;3.7;17505;4713;Rate;Number;Births;2015-2017
12;7;Contacts with midwives;Østfold;2;Antenatal care;4.86;13619;2760;Rate;Number;Births;2015-2017
13;7;Contacts with midwives;Akershus;2;Antenatal care;4.8;25740;5423;Rate;Number;Births;2015-2017
14;7;Contacts with midwives;OUS;2;Antenatal care;3.38;12420;3804;Rate;Number;Births;2015-2017
15;7;Contacts with midwives;Lovisenberg;2;Antenatal care;3.96;10403;2722;Rate;Number;Births;2015-2017
16;7;Contacts with midwives;Diakonhjemmet;2;Antenatal care;3.51;5809;1750;Rate;Number;Births;2015-2017
17;7;Contacts with midwives;Innlandet;2;Antenatal care;5.01;17533;3441;Rate;Number;Births;2015-2017
18;7;Contacts with midwives;Vestre Viken;2;Antenatal care;3.6;16970;4805;Rate;Number;Births;2015-2017
19;7;Contacts with midwives;Vestfold;2;Antenatal care;4.08;8881;2162;Rate;Number;Births;2015-2017
20;7;Contacts with midwives;Telemark;2;Antenatal care;4.79;7536;1540;Rate;Number;Births;2015-2017
21;7;Contacts with midwives;Sørlandet;2;Antenatal care;5.11;16801;3242;Rate;Number;Births;2015-2017
8888;7;Contacts with midwives;Norway;2;Antenatal care;4.42;252305;57120;Rate;Number;Births;2015-2017
1;8;Contacts with GPs;Finnmark;2;Antenatal care;1.32;1012;769;Rate;Number;Births;2015-2017
2;8;Contacts with GPs;UNN;2;Antenatal care;2.43;4732;1949;Rate;Number;Births;2015-2017
3;8;Contacts with GPs;Nordland;2;Antenatal care;1.67;2233;1340;Rate;Number;Births;2015-2017
4;8;Contacts with GPs;Helgeland;2;Antenatal care;2.23;1608;723;Rate;Number;Births;2015-2017
5;8;Contacts with GPs;Nord-Trøndelag;2;Antenatal care;1.96;2590;1321;Rate;Number;Births;2015-2017
6;8;Contacts with GPs;St. Olavs;2;Antenatal care;3.04;10915;3585;Rate;Number;Births;2015-2017
7;8;Contacts with GPs;Møre og Romsdal;2;Antenatal care;2.25;6054;2696;Rate;Number;Births;2015-2017
8;8;Contacts with GPs;Førde;2;Antenatal care;1.46;1530;1050;Rate;Number;Births;2015-2017
9;8;Contacts with GPs;Bergen;2;Antenatal care;3.38;18202;5381;Rate;Number;Births;2015-2017
10;8;Contacts with GPs;Fonna;2;Antenatal care;2.97;5756;1943;Rate;Number;Births;2015-2017
11;8;Contacts with GPs;Stavanger;2;Antenatal care;3.99;18782;4713;Rate;Number;Births;2015-2017
12;8;Contacts with GPs;Østfold;2;Antenatal care;3.32;9158;2760;Rate;Number;Births;2015-2017
13;8;Contacts with GPs;Akershus;2;Antenatal care;3.39;18371;5423;Rate;Number;Births;2015-2017
14;8;Contacts with GPs;OUS;2;Antenatal care;3.94;15006;3804;Rate;Number;Births;2015-2017
15;8;Contacts with GPs;Lovisenberg;2;Antenatal care;3.86;10520;2722;Rate;Number;Births;2015-2017
16;8;Contacts with GPs;Diakonhjemmet;2;Antenatal care;4.08;7169;1750;Rate;Number;Births;2015-2017
17;8;Contacts with GPs;Innlandet;2;Antenatal care;2.89;9951;3441;Rate;Number;Births;2015-2017
18;8;Contacts with GPs;Vestre Viken;2;Antenatal care;3.57;17159;4805;Rate;Number;Births;2015-2017
19;8;Contacts with GPs;Vestfold;2;Antenatal care;3.42;7402;2162;Rate;Number;Births;2015-2017
20;8;Contacts with GPs;Telemark;2;Antenatal care;2.8;4303;1540;Rate;Number;Births;2015-2017
21;8;Contacts with GPs;Sørlandet;2;Antenatal care;3.43;11113;3242;Rate;Number;Births;2015-2017
8888;8;Contacts with GPs;Norway;2;Antenatal care;3.21;183564;57120;Rate;Number;Births;2015-2017
1;9;Contacts with specialist health services;Finnmark;2;Antenatal care;4.42;3400;769;Rate;Number;Births;2015-2017
2;9;Contacts with specialist health services;UNN;2;Antenatal care;4.62;8998;1949;Rate;Number;Births;2015-2017
3;9;Contacts with specialist health services;Nordland;2;Antenatal care;4.54;6090;1339;Rate;Number;Births;2015-2017
4;9;Contacts with specialist health services;Helgeland;2;Antenatal care;5.93;4270;723;Rate;Number;Births;2015-2017
5;9;Contacts with specialist health services;Nord-Trøndelag;2;Antenatal care;5.1;6717;1321;Rate;Number;Births;2015-2017
6;9;Contacts with specialist health services;St. Olavs;2;Antenatal care;4.4;15739;3586;Rate;Number;Births;2015-2017
7;9;Contacts with specialist health services;Møre og Romsdal;2;Antenatal care;4.55;12236;2698;Rate;Number;Births;2015-2017
8;9;Contacts with specialist health services;Førde;2;Antenatal care;4.61;4833;1050;Rate;Number;Births;2015-2017
9;9;Contacts with specialist health services;Bergen;2;Antenatal care;3.94;21199;5381;Rate;Number;Births;2015-2017
10;9;Contacts with specialist health services;Fonna;2;Antenatal care;4.67;9026;1944;Rate;Number;Births;2015-2017
11;9;Contacts with specialist health services;Stavanger;2;Antenatal care;4.65;21871;4714;Rate;Number;Births;2015-2017
12;9;Contacts with specialist health services;Østfold;2;Antenatal care;4.28;11790;2760;Rate;Number;Births;2015-2017
13;9;Contacts with specialist health services;Akershus;2;Antenatal care;4.06;22054;5423;Rate;Number;Births;2015-2017
14;9;Contacts with specialist health services;OUS;2;Antenatal care;4.3;16436;3799;Rate;Number;Births;2015-2017
15;9;Contacts with specialist health services;Lovisenberg;2;Antenatal care;4.4;12009;2719;Rate;Number;Births;2015-2017
16;9;Contacts with specialist health services;Diakonhjemmet;2;Antenatal care;4.48;7905;1750;Rate;Number;Births;2015-2017
17;9;Contacts with specialist health services;Innlandet;2;Antenatal care;5.25;18024;3441;Rate;Number;Births;2015-2017
18;9;Contacts with specialist health services;Vestre Viken;2;Antenatal care;5.6;26985;4803;Rate;Number;Births;2015-2017
19;9;Contacts with specialist health services;Vestfold;2;Antenatal care;4.87;10520;2162;Rate;Number;Births;2015-2017
20;9;Contacts with specialist health services;Telemark;2;Antenatal care;5.44;8341;1540;Rate;Number;Births;2015-2017
21;9;Contacts with specialist health services;Sørlandet;2;Antenatal care;5.47;17683;3241;Rate;Number;Births;2015-2017
8888;9;Contacts with specialist health services;Norway;2;Antenatal care;4.66;266126;57113;Rate;Number;Births;2015-2017
1;10;Gestational diabetes, primiparous;Finnmark;2;Antenatal care;40.33;11;305;Rate;Number;Births;2015-2017
2;10;Gestational diabetes, primiparous;UNN;2;Antenatal care;25.74;20;818;Rate;Number;Births;2015-2017
3;10;Gestational diabetes, primiparous;Nordland;2;Antenatal care;48.43;24;541;Rate;Number;Births;2015-2017
4;10;Gestational diabetes, primiparous;Helgeland;2;Antenatal care;52.3;13;290;Rate;Number;Births;2015-2017
5;10;Gestational diabetes, primiparous;Nord-Trøndelag;2;Antenatal care;35.05;16;512;Rate;Number;Births;2015-2017
6;10;Gestational diabetes, primiparous;St. Olavs;2;Antenatal care;29.83;46;1564;Rate;Number;Births;2015-2017
7;10;Gestational diabetes, primiparous;Møre og Romsdal;2;Antenatal care;54.27;54;1049;Rate;Number;Births;2015-2017
8;10;Gestational diabetes, primiparous;Førde;2;Antenatal care;111.2;41;389;Rate;Number;Births;2015-2017
9;10;Gestational diabetes, primiparous;Bergen;2;Antenatal care;65.42;149;2296;Rate;Number;Births;2015-2017
10;10;Gestational diabetes, primiparous;Fonna;2;Antenatal care;47.94;32;739;Rate;Number;Births;2015-2017
11;10;Gestational diabetes, primiparous;Stavanger;2;Antenatal care;33.26;62;1917;Rate;Number;Births;2015-2017
12;10;Gestational diabetes, primiparous;Østfold;2;Antenatal care;59.4;66;1176;Rate;Number;Births;2015-2017
13;10;Gestational diabetes, primiparous;Akershus;2;Antenatal care;43.19;95;2176;Rate;Number;Births;2015-2017
14;10;Gestational diabetes, primiparous;OUS;2;Antenatal care;39.43;88;2008;Rate;Number;Births;2015-2017
15;10;Gestational diabetes, primiparous;Lovisenberg;2;Antenatal care;34.5;64;1594;Rate;Number;Births;2015-2017
16;10;Gestational diabetes, primiparous;Diakonhjemmet;2;Antenatal care;31.14;34;905;Rate;Number;Births;2015-2017
17;10;Gestational diabetes, primiparous;Innlandet;2;Antenatal care;40.77;55;1435;Rate;Number;Births;2015-2017
18;10;Gestational diabetes, primiparous;Vestre Viken;2;Antenatal care;55.79;113;1958;Rate;Number;Births;2015-2017
19;10;Gestational diabetes, primiparous;Vestfold;2;Antenatal care;37.93;33;889;Rate;Number;Births;2015-2017
20;10;Gestational diabetes, primiparous;Telemark;2;Antenatal care;35.82;21;643;Rate;Number;Births;2015-2017
21;10;Gestational diabetes, primiparous;Sørlandet;2;Antenatal care;58.45;68;1246;Rate;Number;Births;2015-2017
8888;10;Gestational diabetes, primiparous;Norway;2;Antenatal care;45.19;1105;24452;Rate;Number;Births;2015-2017
1;11;Gestational diabetes, multiparous;Finnmark;2;Antenatal care;54.76;23;444;Rate;Number;Births;2015-2017
2;11;Gestational diabetes, multiparous;UNN;2;Antenatal care;31.99;36;1135;Rate;Number;Births;2015-2017
3;11;Gestational diabetes, multiparous;Nordland;2;Antenatal care;54.69;44;832;Rate;Number;Births;2015-2017
4;11;Gestational diabetes, multiparous;Helgeland;2;Antenatal care;50.34;20;442;Rate;Number;Births;2015-2017
5;11;Gestational diabetes, multiparous;Nord-Trøndelag;2;Antenatal care;36.29;29;861;Rate;Number;Births;2015-2017
6;11;Gestational diabetes, multiparous;St. Olavs;2;Antenatal care;39.18;78;2033;Rate;Number;Births;2015-2017
7;11;Gestational diabetes, multiparous;Møre og Romsdal;2;Antenatal care;47.63;76;1662;Rate;Number;Births;2015-2017
8;11;Gestational diabetes, multiparous;Førde;2;Antenatal care;115.13;79;698;Rate;Number;Births;2015-2017
9;11;Gestational diabetes, multiparous;Bergen;2;Antenatal care;70.99;223;3146;Rate;Number;Births;2015-2017
10;11;Gestational diabetes, multiparous;Fonna;2;Antenatal care;48.14;55;1237;Rate;Number;Births;2015-2017
11;11;Gestational diabetes, multiparous;Stavanger;2;Antenatal care;34.38;96;2864;Rate;Number;Births;2015-2017
12;11;Gestational diabetes, multiparous;Østfold;2;Antenatal care;69.3;112;1656;Rate;Number;Births;2015-2017
13;11;Gestational diabetes, multiparous;Akershus;2;Antenatal care;47.48;158;3205;Rate;Number;Births;2015-2017
14;11;Gestational diabetes, multiparous;OUS;2;Antenatal care;47.76;107;2033;Rate;Number;Births;2015-2017
15;11;Gestational diabetes, multiparous;Lovisenberg;2;Antenatal care;53.09;61;1035;Rate;Number;Births;2015-2017
16;11;Gestational diabetes, multiparous;Diakonhjemmet;2;Antenatal care;34.08;32;810;Rate;Number;Births;2015-2017
17;11;Gestational diabetes, multiparous;Innlandet;2;Antenatal care;46.41;91;2043;Rate;Number;Births;2015-2017
18;11;Gestational diabetes, multiparous;Vestre Viken;2;Antenatal care;57.15;172;2845;Rate;Number;Births;2015-2017
19;11;Gestational diabetes, multiparous;Vestfold;2;Antenatal care;46.86;59;1289;Rate;Number;Births;2015-2017
20;11;Gestational diabetes, multiparous;Telemark;2;Antenatal care;55.91;48;910;Rate;Number;Births;2015-2017
21;11;Gestational diabetes, multiparous;Sørlandet;2;Antenatal care;68.93;129;1942;Rate;Number;Births;2015-2017
8888;11;Gestational diabetes, multiparous;Norway;2;Antenatal care;52.15;1727;33120;Rate;Number;Births;2015-2017
1;12;Uncomplicated births;Finnmark;3;Primiparous;607.58;192;305;Rate;Number;Births;2015-2017
2;12;Uncomplicated births;UNN;3;Primiparous;621.13;520;818;Rate;Number;Births;2015-2017
3;12;Uncomplicated births;Nordland;3;Primiparous;612.95;342;541;Rate;Number;Births;2015-2017
4;12;Uncomplicated births;Helgeland;3;Primiparous;593.95;182;290;Rate;Number;Births;2015-2017
5;12;Uncomplicated births;Nord-Trøndelag;3;Primiparous;559.96;301;512;Rate;Number;Births;2015-2017
6;12;Uncomplicated births;St. Olavs;3;Primiparous;598.27;942;1564;Rate;Number;Births;2015-2017
7;12;Uncomplicated births;Møre og Romsdal;3;Primiparous;589.55;632;1049;Rate;Number;Births;2015-2017
8;12;Uncomplicated births;Førde;3;Primiparous;630.91;251;389;Rate;Number;Births;2015-2017
9;12;Uncomplicated births;Bergen;3;Primiparous;591.79;1362;2296;Rate;Number;Births;2015-2017
10;12;Uncomplicated births;Fonna;3;Primiparous;606.56;466;739;Rate;Number;Births;2015-2017
11;12;Uncomplicated births;Stavanger;3;Primiparous;550.52;1064;1917;Rate;Number;Births;2015-2017
12;12;Uncomplicated births;Østfold;3;Primiparous;589.69;710;1176;Rate;Number;Births;2015-2017
